benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/parity_true-unreach-call_true-no-overflow.i.smt2,STP-mt,4775.041412661676
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/toy-bug-2.c.kratos.bv64.bmc_k100.smt2,STP-mt,3900.407933623763
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/toy-bug-1.c.kratos.bv64.bmc_k100.smt2,STP-mt,3800.7981370990096
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/bist_cell.c.kratos.bv64.ind_k100.smt2,STP-mt,3783.1848389495044
/data/SMT-LIB-incremental/QF_BV/2018-Mann/arbiter_cex_w8d8q8n4b10.smt2,STP-mt,3054.1844685454544
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/mem_slave_tlm.5.c.kratos.bv64.bmc_k100.smt2,STP-mt,2929.4387080990095
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/pipeline-bug.c.kratos.bv64.ind_k100.smt2,STP-mt,1901.0465699099004
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/toy-bug-1.c.kratos.bv64.ind_k100.smt2,STP-mt,1544.6232124455437
/data/SMT-LIB-incremental/QF_BV/2018-Mann/fifo_data_integrity_w8d8b30.smt2,Yices,1378.7549999999999
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/modulus_true-unreach-call_true-no-overflow.i.smt2,MinkeyRink ST,627.20415
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/kundu.c.kratos.bv64.ind_k100.smt2,STP-mt,498.9895008900985
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/mem_slave_tlm.5.c.kratos.bv64.ind_k100.smt2,STP-mt,356.3567865643563
/data/SMT-LIB-incremental/QF_BV/2018-Wolf-fmbench/zipcpu-pfcache-unrolled.smt2,CVC4,227.2917
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/kundu.c.kratos.bv64.bmc_k100.smt2,Boolector,142.56425742574265
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/toy.c.kratos.bv64.bmc_k100.smt2,Boolector,142.54425742574267
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/pipeline.c.kratos.bv64.ind_k100.smt2,STP-mt,118.79337608811875
/data/SMT-LIB-incremental/QF_BV/2018-Wolf-fmbench/VexRiscv-regch0-15-unrolled.smt2,Yices,35.3194
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/jain_5_true-unreach-call_true-no-overflow.i.smt2,MinkeyRink ST,12.23855
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/overflow_false-unreach-call1.i.smt2,MinkeyRink ST,1.9155799999999998
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.4.ufo.UNBOUNDED.pals.c.v+nlh-reducer_smt-query.0.smt2,STP,1.199851
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.5.2.ufo.BOUNDED-10.pals.c.v+nlh-reducer_smt-query.0.smt2,STP,0.9224730000000001
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.1.ufo.BOUNDED-8.pals.c.v+nlh-reducer_smt-query.0.smt2,MinkeyRink MT,0.801859
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c.v+lhb-reducer_smt-query.0.smt2,STP,0.7929820000000001
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.5.2.ufo.BOUNDED-10.pals.c.v+lhb-reducer_smt-query.0.smt2,MinkeyRink ST,0.7886360000000001
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/num_conversion_1_true-unreach-call_true-no-overflow.i.smt2,MathSAT (2018),0.7785500000000001
/data/SMT-LIB-incremental/QF_BV/2019-Mann/digital-estimation-convergence-inc_fwd_prove_ind.smt2,STP,0.75115
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c.v+nlh-reducer_smt-query.0.smt2,STP,0.72858
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,STP,0.682085
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_firewire_tree.1.prop3_cc_ref_max.smt2,MinkeyRink MT,0.6783669999999999
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_collision.3.prop1_cc_ref_max.smt2,Boolector,0.66988
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.3.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,STP,0.5886159999999999
/data/SMT-LIB-incremental/QF_BV/2019-Wolf-fmbench/2019B/marlann_compute_cp_fail1_QF_BV.smt2,STP,0.581256
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_krebs.3.prop1_cc_ref_max.smt2,MinkeyRink MT,0.5756870000000001
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_firewire_tree.4.prop2_cc_ref_max.smt2,STP,0.559904
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.c.v+nlh-reducer_smt-query.0.smt2,MinkeyRink MT,0.510801
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.1.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,STP,0.489195
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/floppy_simpl4.cil-1_smt-query.0.smt2,MinkeyRink MT,0.472556
/data/SMT-LIB-incremental/QF_BV/2019-Wolf-fmbench/2019B/marlann_compute_cp_fail2_QF_BV.smt2,MinkeyRink ST,0.47175200000000006
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_needham.3.prop2_cc_ref_to.smt2,Boolector,0.4521799999999998
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/cdaudio_simpl1.cil-1_smt-query.0.smt2,STP,0.3602200000000001
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.2.ufo.BOUNDED-8.pals.c.v+lhb-reducer_smt-query.0.smt2,STP,0.35820199999999996
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.1.ufo.UNBOUNDED.pals.c.v+nlh-reducer_smt-query.0.smt2,MinkeyRink MT,0.35660299999999995
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.2.ufo.UNBOUNDED.pals.c.v+nlh-reducer_smt-query.0.smt2,MinkeyRink MT,0.354529
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.2.ufo.BOUNDED-8.pals.c.v+nlh-reducer_smt-query.0.smt2,MinkeyRink MT,0.353093
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.2.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,MinkeyRink MT,0.352344
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.3.ufo.BOUNDED-8.pals.c.v+lhb-reducer_smt-query.0.smt2,MinkeyRink MT,0.34225800000000006
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.2.ufo.BOUNDED-8.pals.c.v+lhb-reducer_smt-query.0.smt2,MinkeyRink MT,0.33217399999999997
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_lup.4.prop1_cc_ref_max.smt2,STP-mt,0.32094799999999996
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_needham.1.prop1_cc_ref_max.smt2,MinkeyRink MT,0.309412
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_anderson.7.prop1_cc_ref_max.smt2,Boolector,0.30837400000000004
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_peg_solitaire.3.prop1_cc_ref_max.smt2,STP,0.306423
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_brp2.5.prop3_cc_ref_max.smt2,MinkeyRink MT,0.29051000000000005
