benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_LIA/lustre/DRAGON_all.bmc_k100.smt2,Yices (2018),1452.283
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/toy-bug-1.c.kratos.int.bmc_k100.smt2,Z3,1298.3599999999997
/data/SMT-LIB-incremental/QF_LIA/lustre/SYNAPSE_i1.bmc_k100.smt2,CVC4,827.745
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/transmitter.10.c.kratos.int.bmc_k100.smt2,Z3,570.3670297029703
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/pipeline-bug.c.kratos.int.bmc_k100.smt2,Yices,233.78999999999996
/data/SMT-LIB-incremental/QF_LIA/lustre/MESI_all.bmc_k100.smt2,Yices (2018),166.4119
/data/SMT-LIB-incremental/QF_LIA/lustre/PRODUCER_CONSUMER_vt.ind_k100.smt2,Yices,95.10950495049474
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/pc_sfifo_3.c.kratos.int.bmc_k100.smt2,Yices (2018),75.0891
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/toy-bug-2.c.kratos.int.bmc_k100.smt2,Yices,74.46500000000003
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/toy-bug-1.c.kratos.int.ind_k100.smt2,Yices (2018),58.940000000000055
/data/SMT-LIB-incremental/QF_LIA/lustre/FIREFLY_rt.bmc_k100.smt2,Yices,53.79499999999996
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/pipeline.c.kratos.int.ind_k100.smt2,Yices,47.524752475247624
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/pipeline-bug.c.kratos.int.ind_k100.smt2,Yices (2018),23.71237623762363
/data/SMT-LIB-incremental/QF_LIA/lustre/DRAGON_all2.ind_k100.smt2,Yices (2018),19.669999999999845
/data/SMT-LIB-incremental/QF_LIA/lustre/rtp_all.ind_k100.smt2,Yices,16.394000000000005
/data/SMT-LIB-incremental/QF_LIA/lustre/MESI_all.ind_k100.smt2,Yices (2018),11.278999999999996
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/Problem05_50_true-unreach-call.c.smt2,Yices (2018),8.057999999999993
/data/SMT-LIB-incremental/QF_LIA/lustre/SYNAPSE_all.ind_k100.smt2,Yices,5.928899999999999
/data/SMT-LIB-incremental/QF_LIA/lustre/traffic.bmc_k100.smt2,CVC4,2.90726
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/Problem08_60_false-unreach-call.c.smt2,Yices (2018),0.8590000000000089
/data/SMT-LIB-incremental/QF_LIA/ultimateKojak/s3_clnt_1_true-unreach-call.cil.c.prep.smt2,Yices (2018),0.6764999999999972
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/pc_sfifo_2_true-unreach-call_false-termination.cil.c.smt2,Yices (2018),0.5519999999999925
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/toy1_false-unreach-call_false-termination.cil.c.smt2,Yices,0.4555999999999969
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/mem_slave_tlm.5_true-unreach-call_false-termination.cil.c.smt2,Yices,0.16109999999999935
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/pipeline_true-unreach-call_false-termination.cil.c.smt2,Yices,0.13799999999999812
/data/SMT-LIB-incremental/QF_LIA/UltimateBuchiAutomizer/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c.smt2,Yices,0.12721999999999944
/data/SMT-LIB-incremental/QF_LIA/lustre/rtp_vt.bmc_k100.smt2,Yices (2018),0.10999999999967258
/data/SMT-LIB-incremental/QF_LIA/UltimateBuchiAutomizer/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c.smt2,Yices,0.08209999999999873
/data/SMT-LIB-incremental/QF_LIA/lustre/hysteresis_all.bmc_k100.smt2,Yices,0.08091999999999988
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/pipeline.c.kratos.int.bmc_k100.smt2,Yices (2018),0.06999999999970896
/data/SMT-LIB-incremental/QF_LIA/lustre/ex3.bmc_k100.smt2,Yices,0.06884999999999986
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/toy.c.kratos.int.bmc_k100.smt2,Yices (2018),0.019999999999527063
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/kundu.c.kratos.int.bmc_k100.smt2,Yices (2018),0.010000000000218279
/data/SMT-LIB-incremental/QF_LIA/UltimateBuchiAutomizer/c.01-no-inv_true-termination.c.smt2,Yices,0.009310000000000151
/data/SMT-LIB-incremental/QF_LIA/lustre/two_counters.ind_k100.smt2,Yices (2018),0.0006070000000000242
/data/SMT-LIB-incremental/QF_LIA/ultimateKojak/bist_cell_true-unreach-call_false-termination.cil.c.prep.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_LIA/lustre/FIREFLY_rt.ind_k100.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_LIA/ultimateAutomizer/Problem05_00_false-unreach-call.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_LIA/kratos_systemC_swmc/mem_slave_tlm.5.c.kratos.int.bmc_k100.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_LIA/UltimateBuchiAutomizer/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c.smt2,Yices,0.0
