benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_frogs.3.prop1_ab_core_max.smt2,SMTInterpol,7.958029999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_frogs.5.prop1_ab_core_max.smt2,CVC4,6.4338
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.4.prop2_ab_min_max.smt2,CVC4,5.6367959999999995
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_adding.5.prop1_ab_core_max.smt2,SMTInterpol,5.383726
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.5.prop3_ab_min_max.smt2,CVC4,4.37889
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_collision.5.prop1_ab_core_max.smt2,SMTInterpol,4.366432
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pouring.1.prop1_ab_min_max.smt2,CVC4,4.147640000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.2.prop1_ab_min_max.smt2,CVC4,3.943006
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.4.prop1_ab_core_max.smt2,CVC4,3.6107609999999997
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pouring.2.prop1_ab_min_max.smt2,CVC4,3.4893600000000005
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_frogs.1.prop1_ab_core_max.smt2,SMTInterpol,3.098904
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_collision.6.prop1_ab_core_max.smt2,SMTInterpol,3.067799
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.4.prop1_ab_min_max.smt2,CVC4,3.010162
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_sokoban.3.prop1_ab_min_max.smt2,SMTInterpol,2.892912
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.2.prop2_ab_min_max.smt2,SMTInterpol,2.8456609999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.4.prop1_ab_core_max.smt2,SMTInterpol,2.786759
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop2_ab_core_max.smt2,SMTInterpol,2.676354
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_mcs.4.prop1_ab_min_max.smt2,SMTInterpol,2.333491
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.4.prop2_ab_core_max.smt2,CVC4,2.306233
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop3_ab_core_max.smt2,SMTInterpol,2.229123
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_blocks.3.prop1_ab_core_max.smt2,SMTInterpol,2.210541
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.4.prop1_ab_min_max.smt2,Z3,2.193166
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.3.prop2_ab_core_max.smt2,SMTInterpol,2.183809
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.1.prop1_ab_core_max.smt2,SMTInterpol,2.083609
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_adding.6.prop1_ab_min_max.smt2,SMTInterpol,1.9869409999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.2.prop1_ab_core_max.smt2,SMTInterpol,1.972158
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.5.prop1_ab_min_max.smt2,SMTInterpol,1.9652370000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.2.prop2_ab_core_max.smt2,SMTInterpol,1.882298
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.1.prop1_ab_core_max.smt2,SMTInterpol,1.783489
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.1.prop1_ab_core_max.smt2,SMTInterpol,1.7526140000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.5.prop2_ab_core_max.smt2,CVC4,1.7070120000000002
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_collision.6.prop1_ab_min_max.smt2,SMTInterpol,1.684939
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_blocks.3.prop1_ab_min_max.smt2,SMTInterpol,1.674363
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_adding.6.prop1_ab_core_max.smt2,SMTInterpol,1.66667
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.6.prop2_ab_core_max.smt2,SMTInterpol,1.602922
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.3.prop3_ab_min_max.smt2,CVC4,1.5939149999999997
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_collision.2.prop1_ab_core_max.smt2,SMTInterpol,1.58652
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.7.prop2_ab_core_max.smt2,SMTInterpol,1.564965
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.3.prop2_ab_core_max.smt2,Z3,1.5643390000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_msmie.3.prop1_ab_core_max.smt2,SMTInterpol,1.559561
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.4.prop2_ab_core_max.smt2,SMTInterpol,1.551009
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.2.prop3_ab_core_max.smt2,SMTInterpol,1.543149
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.5.prop2_ab_core_max.smt2,SMTInterpol,1.512806
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.1.prop2_ab_core_max.smt2,CVC4,1.5067920000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_telephony.2.prop1_ab_core_max.smt2,SMTInterpol,1.488076
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.3.prop2_ab_min_max.smt2,SMTInterpol,1.4660600000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.2.prop1_ab_core_max.smt2,SMTInterpol,1.460247
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.6.prop1_ab_core_max.smt2,SMTInterpol,1.453658
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_gear.2.prop2_ab_core_max.smt2,SMTInterpol,1.4521709999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_gear.1.prop2_ab_min_max.smt2,SMTInterpol,1.4358969000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_peg_solitaire.3.prop1_ab_core_max.smt2,SMTInterpol,1.4318959999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.5.prop1_ab_core_max.smt2,SMTInterpol,1.421541
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.2.prop1_ab_core_max.smt2,SMTInterpol,1.404453
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_gear.1.prop4_ab_core_max.smt2,SMTInterpol,1.403729
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_election.5.prop1_ab_min_max.smt2,SMTInterpol,1.3623509999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.5.prop1_ab_min_max.smt2,SMTInterpol,1.361771
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_fischer.5.prop1_ab_min_max.smt2,SMTInterpol,1.3432840000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_anderson.8.prop1_ab_core_max.smt2,SMTInterpol,1.3289689999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_at.4.prop1_ab_core_max.smt2,SMTInterpol,1.321479
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_at.4.prop1_ab_min_max.smt2,SMTInterpol,1.3135510000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_synapse.3.prop1_ab_core_max.smt2,CVC4,1.3131
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.3.prop1_ab_min_max.smt2,SMTInterpol,1.3110140000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp.3.prop1_ab_min_max.smt2,SMTInterpol,1.309761
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.4.prop3_ab_core_max.smt2,Z3,1.308963
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.2.prop1_ab_min_max.smt2,SMTInterpol,1.29977
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_synapse.4.prop1_ab_min_max.smt2,SMTInterpol,1.292929
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_loyd.1.prop1_ab_min_max.smt2,SMTInterpol,1.273747
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_bakery.4.prop1_ab_core_max.smt2,SMTInterpol,1.268207
