benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_10_e2_2785_e3_1744.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_9_e7_170_e3_3647.ec.smt2,Z3 (2018),0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/MESI_3_e2_819_e1_1145.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/SYNAPSE_2_e8_656.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/car_5_e3_11_e5_24.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/car_all_e1_388.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/SYNAPSE_all_e7_907.ec.smt2,Z3 (2018),0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/MESI_i4_e1_1023_e8_2498.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_all_e1_1207.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_luke_1a_e2_284_e7_998.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/SYNAPSE_1.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_a3_e2_2086_e3_2542.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_8_e2_1711_e3_1753.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_1_e8_725_e3_556.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/MOESI_2_e1_1753.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/MOESI_2_e7_2910_e8_2590.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_5_e7_2017_e7_2326.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/rtp_all.ec.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_2_e2_3183_e2_3580.ec.smt2,Yices,0.0
