benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIRA/FFT/smtlib.798994.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0320.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0710.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0076.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_symm_0034.fof.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify/gauss_init_0099.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_forall/thruster_init_0772.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib737131.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0869.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_forall/quaternion_ds1_init_0118.fof.smt2,CVC4-SymBreak,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_symm_0020.fof.smt2,Z3 (2018),0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_symm_0027.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0004.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/cl5_nebula_init_0050.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/gauss_init_0052.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/gauss_init_0081.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_inuse_0090.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/peter/symmetric_sat_29.smt2,Z3 (2018),0.0
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtliba74a76.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibca010c.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibc3456e.smt2,Z3 (2018),0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0346.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_inuse_0053.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_init_0136.fof.smt2,Alt-Ergo,0.0
