benchmark,prediction,loss
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.roundToIntegral_fp.isPositive.smt2,UE+MathSAT,4799.9782151
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.sqrt_fp.isNormal.smt2,UE+MathSAT,4799.9767371
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RNA_fp.abs_fp.isSubnormal.smt2,UE+MathSAT,4799.975457
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.roundToIntegral_fp.isZero.smt2,UE+MathSAT,4799.975431
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.roundToIntegral_fp.isNaN.smt2,UE+MathSAT,4799.9752001
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RTP_fp.abs_distinct.smt2,UE+MathSAT,4799.97371
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RNA_fp.abs_fp.isNegative.smt2,UE+MathSAT,4799.970635
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RNA_fp.roundToIntegral_fp.isPositive.smt2,UE+MathSAT,4799.9701451
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RTN_fp.roundToIntegral_distinct.smt2,UE+MathSAT,4799.9691361
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.roundToIntegral_fp.isSubnormal.smt2,UE+MathSAT,4799.968494
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNE_fp.roundToIntegral_distinct.smt2,UE+MathSAT,4799.96688
/data/SMT-LIB-non-incremental/FP/2019-Preiner/11_53_RNA_fp.abs_fp.isZero.smt2,UE+MathSAT,4799.961607
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RNE_fp.abs_distinct.smt2,UE+MathSAT,4799.961496
/data/SMT-LIB-non-incremental/FP/2019-Preiner/11_53_RNA_fp.roundToIntegral_fp.isNegative.smt2,UE+MathSAT,4799.959182
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RTN_fp.sqrt_distinct.smt2,UE+MathSAT,4799.9578899
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RNE_fp.roundToIntegral_distinct.smt2,UE+MathSAT,4799.9509041
/data/SMT-LIB-non-incremental/FP/2019-Preiner/11_53_RNA_fp.abs_fp.isNegative.smt2,UE+MathSAT,4799.950729
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RNA_fp.roundToIntegral_distinct.smt2,UE+MathSAT,4799.9494859
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNE_fp.abs_fp.gt.smt2,UE+MathSAT,4799.9468491
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.abs_=.smt2,UE+MathSAT,4799.9437951
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNE_fp.abs_fp.geq.smt2,UE+MathSAT,4799.9436819
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RTP_fp.neg_fp.gt.smt2,UE+MathSAT,4799.9432409
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RTP_fp.add_fp.isNaN.smt2,UE+MathSAT,4799.9431429
/data/SMT-LIB-non-incremental/FP/2019-Preiner/3_5_RNA_fp.fma_fp.isNaN2.smt2,UE+MathSAT,4799.9431301
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RTZ_fp.add_fp.isNaN.smt2,UE+MathSAT,4799.942767
/data/SMT-LIB-non-incremental/FP/2019-Preiner/8_24_RTZ_fp.abs_=.smt2,UE+MathSAT,4799.942711
