benchmark,prediction,loss
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.smt2,UE+SMTInterpol,4799.9882791
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_470.smt2,UE+SMTInterpol,4799.9882141
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_73.smt2,ProB,4799.9881919
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_887.smt2,UE+MathSAT,4799.988189
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1597.smt2,UE+Yices,4799.988077
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1703.smt2,ProB,4799.9880191
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1795.smt2,UE+SMTInterpol,4799.9880001
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/recHanoi03_true-unreach-call_true-termination.c_3227.smt2,UE+MathSAT,4799.9879939
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1777.smt2,UE+SMTInterpol,4799.9879519
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1737.smt2,UE+MathSAT,4799.9879511
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1887.smt2,ProB,4799.987943
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1798.smt2,UE+SMTInterpol,4799.987912
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_785.smt2,UE+SMTInterpol,4799.987902
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1792.smt2,ProB,4799.987886
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1427.smt2,UE+Yices,4799.987878
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_17.smt2,UE+SMTInterpol,4799.987848
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1357.smt2,UE+MathSAT,4799.9878071
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1817.smt2,UE+SMTInterpol,4799.9878011
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_746.smt2,UE+MathSAT,4799.9877911
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1722.smt2,UE+SMTInterpol,4799.9877449
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_497.smt2,UE+SMTInterpol,4799.9876861
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1375.smt2,UE+Yices,4799.987529
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_807.smt2,UE+MathSAT,4799.9875221
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1072.smt2,UE+Yices,4799.9875139
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1729.smt2,UE+Yices,4799.9874871
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1677.smt2,ProB,4799.987464
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1070.smt2,ProB,4799.9874089
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_766.smt2,UE+MathSAT,4799.9872989
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_763.smt2,UE+MathSAT,4799.9868359
/data/SMT-LIB-non-incremental/LIA/tptp/ARI053=1.smt2,veriT,4799.9851949
/data/SMT-LIB-non-incremental/LIA/tptp/ARI045=1.smt2,veriT,4799.9851249
/data/SMT-LIB-non-incremental/LIA/tptp/ARI005=1.smt2,veriT,4799.9850671
/data/SMT-LIB-non-incremental/LIA/tptp/ARI018=1.smt2,veriT,4799.9849019
/data/SMT-LIB-non-incremental/LIA/tptp/NUM871=1.smt2,Vampire,4799.9842669
/data/SMT-LIB-non-incremental/LIA/tptp/ARI079=1.smt2,veriT,4799.9842521
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/recHanoi03_true-unreach-call_true-termination.c_287.smt2,UE+SMTInterpol,4799.982952
/data/SMT-LIB-non-incremental/LIA/tptp/ARI591=1.smt2,ProB,4799.9824729
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_755.smt2,UE+MathSAT,4799.9821029
/data/SMT-LIB-non-incremental/LIA/psyco/175.smt2,UE+Yices,4799.9798669
/data/SMT-LIB-non-incremental/LIA/psyco/139.smt2,UE+Yices,4799.9749569
