benchmark,prediction,loss
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41456.smt2,UE+Yices,4799.9826149
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,UE+Yices,4799.9824579
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38802.smt2,UE+Yices,4799.9818109
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node14896.smt2,UE+MathSAT,4799.9798851
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,UE+MathSAT,4799.9794341
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,UE+MathSAT,4799.979369
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node25171.smt2,UE+MathSAT,4799.9792849
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,UE+Yices,4799.9792751
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48732.smt2,UE+MathSAT,4799.977967
/data/SMT-LIB-non-incremental/NRA/keymaera/bouncing-ball-node5840.smt2,UE+Yices,4799.9778771
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,UE+Yices,4799.9776031
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli.proof-node2282.smt2,Z3,4799.972241
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,UE+MathSAT,4799.9637219
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,UE+MathSAT,4799.9635751
/data/SMT-LIB-non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,UE+Yices,4799.963256
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-node1346.smt2,UE+MathSAT,4799.9609439
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-d-braking-node1346.smt2,CVC4,4799.960823
/data/SMT-LIB-non-incremental/NRA/keymaera/to_right-node1083.smt2,UE+Yices,4799.9606619
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed.proof-node770.smt2,UE+Yices,4799.9593851
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed-node4537.smt2,UE+Yices,4799.95928
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,Vampire,4799.9591211
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node6708.smt2,CVC4,4799.9586439
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,UE+MathSAT,4799.95661
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node1046.smt2,CVC4,4799.94849
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node43393.smt2,UE+MathSAT,4799.9379889
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli.proof-node2308.smt2,Z3,4799.9152499
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli-alert.proof-node2442.smt2,UE+MathSAT,4799.913052
