benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00003_001.cvc.smt2,veriT,4799.99076508
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00013_001.cvc.smt2,veriT,4799.99073906
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00014_001.cvc.smt2,veriT,4799.9903441
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-invalid-5.smt2,Alt-Ergo,4799.9891061
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.7.smt2,veriT,4799.9851411
/data/SMT-LIB-non-incremental/QF_ALIA/UltimateAutomizer2/m0_false-unreach-call_drivers-staging-comedi-drivers-ni_6527-ko--107_1a--adbbc36-1.c_TraceCheck_Iteration1_0.smt2,Z3,4799.9850739
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-safe-10.smt2,veriT,4799.980695
/data/SMT-LIB-non-incremental/QF_ALIA/UltimateAutomizer2/m0_false-unreach-call_drivers-staging-comedi-drivers-ni_660x-ko--107_1a--adbbc36-1.c_TraceCheck_Iteration1_0.smt2,Z3,4799.979803
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.8.smt2,veriT,4799.9745041
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-5.smt2,veriT,4799.9684649
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.9.smt2,Alt-Ergo,4799.963164
/data/SMT-LIB-non-incremental/QF_ALIA/UltimateAutomizer2/m0_false-unreach-call_drivers-staging-comedi-drivers-ni_pcidio-ko--107_1a--adbbc36-1.c_TraceCheck_Iteration1_0.smt2,Alt-Ergo,4799.9567711
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.11.smt2,veriT,4799.944761
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-invalid-15.smt2,veriT,4799.927394
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.13.smt2,veriT,4799.925124
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.16.smt2,veriT,4799.9074741
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.17.smt2,Alt-Ergo,4799.901548
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-10.smt2,Alt-Ergo,4799.889598
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.20.smt2,veriT,4799.887736
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.21.smt2,veriT,4799.881525
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.23.smt2,veriT,4799.862994
