benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_cb19c7.smt2,veriT,4799.9892561
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_3031c9.smt2,veriT,0.47988000000000003
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.15.smt2,Yices,0.45834899999999995
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.24.smt2,Yices,0.45492099999999996
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug-20.smt2,Yices (2018),0.431383
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.26.smt2,Yices (2018),0.1575899999999999
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.22.smt2,Yices,0.128127
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-15.smt2,Yices,0.12373300000000001
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.18.smt2,Yices,0.105937
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,Yices (2018),0.07621999999999973
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.15.smt2,Yices,0.054307900000000006
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.14.smt2,Yices,0.046171000000000004
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug-15.smt2,Yices (2018),0.04233899999999999
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.14.smt2,Yices (2018),0.02710100000000004
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.13.smt2,Yices,0.0224651
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.12.smt2,Yices (2018),0.022009
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_46582a.smt2,veriT,0.019528919999999998
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_509c40.smt2,veriT,0.01915203
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_408ff0.smt2,veriT,0.01866802
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_22b1f2.smt2,veriT,0.01797806
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.11.smt2,Yices (2018),0.015396999999999994
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.28.smt2,Yices,0.015119999999999578
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-10.smt2,Yices (2018),0.010324
