benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00007_001.cvc.smt2,Alt-Ergo,4799.9911011
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00006_006.cvc.smt2,Alt-Ergo,4799.99108391
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t1_np_nf_ai_00007_001.cvc.smt2,Alt-Ergo,4799.99099494
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00005_006.cvc.smt2,Alt-Ergo,4799.99099006
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_sf_ai_00010_003.cvc.smt2,Alt-Ergo,4799.99095196
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00008_004.cvc.smt2,Alt-Ergo,4799.99081993
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t1_np_nf_ai_00010_001.cvc.smt2,Alt-Ergo,4799.99062501
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00003_006.cvc.smt2,Alt-Ergo,4799.99060894
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00004_002.cvc.smt2,Alt-Ergo,4799.99055107
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t3_np_sf_ai_00003_001.cvc.smt2,Alt-Ergo,4799.99038305
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00009_008.cvc.smt2,Alt-Ergo,4799.99028403
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_nf_ai_00010_006.cvc.smt2,Alt-Ergo,4799.9899749
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00050_007.cvc.smt2,Alt-Ergo,4799.9899551
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00004_006.cvc.smt2,Alt-Ergo,4799.9898279
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_sf_ai_00050_006.cvc.smt2,Alt-Ergo,4799.9896879
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00060_001.cvc.smt2,Alt-Ergo,4799.9883681
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00060_003.cvc.smt2,Alt-Ergo,4799.9880989
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_nf_ai_00050_006.cvc.smt2,Alt-Ergo,4799.987837
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_sf_ai_00060_001.cvc.smt2,Alt-Ergo,4799.9875811
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t2_np_nf_ai_00030_003.cvc.smt2,Alt-Ergo,4799.9864209
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t2_np_nf_ai_00060_007.cvc.smt2,Alt-Ergo,4799.9482751
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_sf_ai_00010_009.cvc.smt2,Alt-Ergo,4799.907815
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00009_006.cvc.smt2,Alt-Ergo,875.6364200999999
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00010_007.cvc.smt2,Alt-Ergo,395.4992081
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00008_002.cvc.smt2,Alt-Ergo,346.19622710000004
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_nf_ai_00008_008.cvc.smt2,Alt-Ergo,198.49554500000002
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_sf_ai_00050_008.cvc.smt2,Alt-Ergo,91.4642079
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_nf_ai_00060_003.cvc.smt2,Alt-Ergo,61.281873000000004
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00007_009.cvc.smt2,Alt-Ergo,46.034141000000005
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00007_009.cvc.smt2,Alt-Ergo,25.466589
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_nf_ai_00040_007.cvc.smt2,Alt-Ergo,23.24482
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_nf_ai_00040_001.cvc.smt2,Alt-Ergo,23.163536099999998
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_sf_ai_00010_002.cvc.smt2,CVC4,19.550785
