benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_350.smt2,Poolector,4799.99276392
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_354.smt2,Poolector,4799.99145606
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_352.smt2,Poolector,4799.99117289
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_620.smt2,Poolector,4799.99112302
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_388.smt2,Poolector,4799.99099302
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_203.smt2,Poolector,4799.99096206
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_637.smt2,Poolector,4799.99095512
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_199.smt2,Poolector,4799.99091394
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_678.smt2,Poolector,4799.99082797
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1294.smt2,Poolector,4799.99067497
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4988.smt2,Poolector,4799.67518
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8005.smt2,Poolector,4799.034857
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16390.smt2,Poolector,4798.96477
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_5957.smt2,Poolector,4798.91677
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11073.smt2,Poolector,4798.87548
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10826.smt2,Poolector,4798.8648
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6821.smt2,Poolector,4798.78008
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7770.smt2,Poolector,4797.29591
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10542.smt2,Poolector,4797.28883
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10712.smt2,Poolector,4797.19668
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14237.smt2,Poolector,4796.11304
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_5994.smt2,Poolector,4794.34204
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10593.smt2,Poolector,4787.7152
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11600.smt2,Poolector,4787.0237
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvmul_16.smt2,Poolector,4740.8034
/data/SMT-LIB-non-incremental/QF_BV/asp/Solitaire/solitaire-center-time=31.smt2,Poolector,4700.3055
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8204.smt2,Poolector,4658.45
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12492.smt2,Poolector,4609.479
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14294.smt2,Poolector,4584.65
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12491.smt2,Poolector,4576.851
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17867.smt2,Poolector,4508.285
/data/SMT-LIB-non-incremental/QF_BV/stp_samples/22930-0426-195.smt2,Poolector,4468.656
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14162.smt2,Poolector,4236.533
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/maxor128.smt2,Poolector,4213.716
/data/SMT-LIB-non-incremental/QF_BV/mcm/140.smt2,Poolector,3936.8379999999997
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=140-density=0.1-instance=4.smt2,Poolector,3817.823
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_22_22_08.lp.smt2,Poolector,3565.8
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6295.smt2,Poolector,3404.44
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=150-density=0.1-instance=5.smt2,Poolector,3376.37
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_17958.smt2,Poolector,3280.0299999999997
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_18955.smt2,Poolector,3222.98
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphPartitioning/rand_21_150_1235870252_0_k=3_v=10_e=20_unsat.gph.smt2,Poolector,3075.5299999999997
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphPartitioning/rand_24_250_1235873539_0_k=3_v=9_e=15_unsat.gph.smt2,Poolector,2969.09
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_19952.smt2,Poolector,2767.1099999999997
/data/SMT-LIB-non-incremental/QF_BV/float/mul_000003_30000_1.smt2,Poolector,2637.95
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvudiv_19.smt2,Poolector,2574.85
/data/SMT-LIB-non-incremental/QF_BV/mcm/178.smt2,Poolector,2412.82
/data/SMT-LIB-non-incremental/QF_BV/calypto/problem_19.smt2,Poolector,1871.341438
/data/SMT-LIB-non-incremental/QF_BV/mcm/92.smt2,Poolector,1690.455
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13256.smt2,Poolector,1576.782946
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/isqrteqcheck.smt2,Poolector,1525.039
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/isqrtaddeqcheck.smt2,Poolector,1512.3210000000001
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9378.smt2,Poolector,1502.35875
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6.smt2,Poolector,1495.2898599999999
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=4.smt2,Poolector,1386.9360000000001
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14045.smt2,Poolector,1383.762
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=140-density=0.1-instance=8.smt2,Poolector,1269.902
/data/SMT-LIB-non-incremental/QF_BV/fft/Sz512_15128_4.smt2,Poolector,1268.7800000000002
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_524.smt2,Poolector,1218.164
/data/SMT-LIB-non-incremental/QF_BV/mcm/96.smt2,Poolector,1213.452
/data/SMT-LIB-non-incremental/QF_BV/mcm/98.smt2,Poolector,1105.856
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_5783.smt2,Poolector,1091.3928230000001
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsdiv_19.smt2,Poolector,1029.586
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4548.smt2,Poolector,1015.6659
/data/SMT-LIB-non-incremental/QF_BV/float/test_v5_r15_vr10_c1_s25268.smt2,Poolector,973.5219999999999
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_19_19_14.lp.smt2,Poolector,965.0873
/data/SMT-LIB-non-incremental/QF_BV/float/test_v7_r17_vr1_c1_s30331.smt2,Poolector,961.152
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10754.smt2,Poolector,953.037625
/data/SMT-LIB-non-incremental/QF_BV/fft/Sz512_15128_0.smt2,Poolector,952.088
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvudiv_18.smt2,Poolector,935.5300000000001
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7737.smt2,Poolector,929.66146
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/isqrtnoif.smt2,Poolector,916.1678
/data/SMT-LIB-non-incremental/QF_BV/asp/DisjunctiveScheduling/disjunctiveScheduling.in9.smt2,Poolector,910.3009999999999
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_19_19_17.lp.smt2,Poolector,894.7600000000002
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10602.smt2,Poolector,888.874777
/data/SMT-LIB-non-incremental/QF_BV/asp/EdgeMatching/edge-matching-width=10-height=10-colours=13.smt2,Poolector,816.144
/data/SMT-LIB-non-incremental/QF_BV/asp/DisjunctiveScheduling/disjunctiveScheduling.in7.smt2,Poolector,811.0720000000001
/data/SMT-LIB-non-incremental/QF_BV/asp/EdgeMatching/edge-matching-width=10-height=10-colours=5.smt2,Poolector,766.9300000000001
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsmod_17.smt2,Poolector,733.5899999999999
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_14967.smt2,Poolector,725.297
/data/SMT-LIB-non-incremental/QF_BV/VS3/VS3-benchmark-A11.smt2,Poolector,717.692
/data/SMT-LIB-non-incremental/QF_BV/mcm/27.smt2,Poolector,711.4739999999999
/data/SMT-LIB-non-incremental/QF_BV/asp/EdgeMatching/edge-matching-width=10-height=10-colours=9.smt2,Poolector,710.334
/data/SMT-LIB-non-incremental/QF_BV/float/gaussian.c.125.smt2,Poolector,701.3192
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17597.smt2,Poolector,645.627852
/data/SMT-LIB-non-incremental/QF_BV/asp/EdgeMatching/edge-matching-width=10-height=10-colours=10.smt2,Poolector,642.8789999999999
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3806.smt2,Poolector,617.943545
/data/SMT-LIB-non-incremental/QF_BV/mcm/69.smt2,Poolector,613.0
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_13970.smt2,Poolector,579.0440000000001
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9036.smt2,Poolector,564.1604000000001
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=140-density=0.1-instance=7.smt2,Poolector,518.966
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10143.smt2,Poolector,517.6715
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_10979.smt2,Poolector,515.9239999999999
/data/SMT-LIB-non-incremental/QF_BV/mcm/58.smt2,Poolector,494.06600000000003
/data/SMT-LIB-non-incremental/QF_BV/mcm/37.smt2,Poolector,490.003
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_855.smt2,Poolector,486.261
/data/SMT-LIB-non-incremental/QF_BV/mcm/174.smt2,Poolector,476.788
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=145-density=0.1-instance=7.smt2,Poolector,473.316
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_21_21_15.lp.smt2,Poolector,468.03
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_952.smt2,Poolector,458.463776
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_22_22_19.lp.smt2,Poolector,449.3599999999999
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13594.smt2,Poolector,445.49798
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12.smt2,Poolector,442.12136
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=140-density=0.1-instance=9.smt2,Poolector,435.158
/data/SMT-LIB-non-incremental/QF_BV/asp/WireRouting/wire.15.x.15.b.10.a.20_sat.data.smt2,Poolector,431.5439999999999
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9350.smt2,Poolector,425.57331
/data/SMT-LIB-non-incremental/QF_BV/mcm/100.smt2,Poolector,413.624
/data/SMT-LIB-non-incremental/QF_BV/float/sqrt.c.20.smt2,Poolector,413.106
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphPartitioning/rand_25_200_1235404333_0_k=5_v=5_e=4_unsat.gph.smt2,Poolector,407.198
/data/SMT-LIB-non-incremental/QF_BV/float/test_v5_r15_vr5_c1_s26657.smt2,Poolector,386.269
/data/SMT-LIB-non-incremental/QF_BV/asp/WireRouting/wire.13.x.13.b.5.a.30_sat.data.smt2,Poolector,368.23600000000005
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=150-density=0.1-instance=3.smt2,Poolector,357.579
/data/SMT-LIB-non-incremental/QF_BV/asp/WireRouting/wire.16.x.16.b.5.a.25_sat.data.smt2,Poolector,349.3399999999999
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/maxxor064.smt2,Poolector,344.05300000000005
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsmod_16.smt2,Poolector,336.65600000000006
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13989.smt2,Poolector,333.5238
/data/SMT-LIB-non-incremental/QF_BV/float/test_v5_r15_vr5_c1_s8246.smt2,Poolector,332.41799999999995
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6158.smt2,Poolector,332.101
/data/SMT-LIB-non-incremental/QF_BV/float/test_v5_r15_vr10_c1_s11127.smt2,Poolector,328.6588
/data/SMT-LIB-non-incremental/QF_BV/asp/EdgeMatching/edge-matching-width=9-height=9-colours=12.smt2,Poolector,318.597
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11154.smt2,Poolector,317.56
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6121.smt2,Poolector,314.60499999999996
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7312.smt2,Poolector,309.682
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/minor256.smt2,Poolector,306.34990000000005
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9336.smt2,Poolector,305.85
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10353.smt2,Poolector,305.54193200000003
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4879.smt2,Poolector,300.52099999999996
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16172.smt2,Poolector,295.95000000000005
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6330.smt2,Poolector,294.10699999999997
/data/SMT-LIB-non-incremental/QF_BV/mcm/46.smt2,Poolector,292.652
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvslt_18374.smt2,Poolector,287.97599999999994
/data/SMT-LIB-non-incremental/QF_BV/pspace/ndist.a.29980.smt2,Poolector,285.601975
/data/SMT-LIB-non-incremental/QF_BV/pspace/ndist.a.28483.smt2,Poolector,285.027515
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_49.smt2,Poolector,284.476434
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_1696.smt2,Poolector,284.10474
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6148.smt2,Poolector,283.78
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6203.smt2,Poolector,282.091
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_18_18_14.lp.smt2,Poolector,280.22999999999996
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_11976.smt2,Poolector,276.72799999999995
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10130.smt2,Poolector,275.23138
/data/SMT-LIB-non-incremental/QF_BV/pspace/ndist.a.28982.smt2,Poolector,272.47107
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8791.smt2,Poolector,272.31
/data/SMT-LIB-non-incremental/QF_BV/float/test_v5_r10_vr5_c1_s13679.smt2,Poolector,271.721
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_08985.smt2,Poolector,268.02799999999996
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10282.smt2,Poolector,261.53700000000003
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere/countbits128.smt2,Poolector,257.44000000000005
