benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1395.smt2,CVC4,4799.99321989
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1296.smt2,Boolector (2018),4799.99264307
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1402.smt2,STP-Riss,4799.9922611
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1057.smt2,Boolector-ReasonLS,4799.99173895
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_354.smt2,Poolector,4799.99145606
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_352.smt2,Poolector,4799.99117289
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1322.smt2,Yices-MCSAT-BV,4799.99111792
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_813.smt2,MinkeyRink MT,4799.99109189
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1298.smt2,MinkeyRink MT,4799.99107899
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_512.smt2,Yices-MCSAT-BV,4799.99107502
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1309.smt2,Boolector (2018),4799.99106894
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17729.smt2,Yices-MCSAT-BV,4799.99105592
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1307.smt2,MinkeyRink MT (2018),4799.991054
