benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/exp_2_precision.smt2,CVC4,4799.693727
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.1.1.i.smt2,Z3,4799.647793
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.8.2.i.smt2,CVC4,4799.373985
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.8.3.i.smt2,Z3,4799.298287
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.6.2.i.smt2,Z3,4799.258434
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.6.3.i.smt2,CVC4,4799.110295
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/qurt.c.20.smt2,Z3,4798.71773
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/qurt.c.25.smt2,Z3,4798.71501
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.5.smt2,Z3,4794.54382
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/div2.c.40.smt2,Z3,4794.28944
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/gaussian.c.25.smt2,CVC4,4794.02169
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.3.2.i.smt2,CVC4,4793.68473
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.20.smt2,CVC4,4793.61203
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin.c.25.smt2,Z3,4793.38868
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r17_vr1_c1_s23882.smt2,Z3,4792.92714
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.25.smt2,COLIBRI,4789.2945
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin.c.75.smt2,CVC4,4785.9849
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.75.smt2,Z3,4785.2185
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/gaussian.c.75.smt2,Z3,4784.4518
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.5.2.i.smt2,Z3,4782.5422
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.4.3.i.smt2,Z3,4780.5945
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/average_4.smt2,COLIBRI,4777.7679
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin.c.125.smt2,CVC4,4749.8922
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/gaussian.c.125.smt2,CVC4,4748.9704
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.5.3.i.smt2,CVC4,4734.3606
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s10625.smt2,COLIBRI,4711.4143
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr5_c1_s8938.smt2,COLIBRI,4686.091
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin.c.175.smt2,CVC4,4663.862
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.5.smt2,COLIBRI,4444.857
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s32506.smt2,COLIBRI,4408.296
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/angle_between_2.smt2,COLIBRI,4384.546
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.15.smt2,Z3,4377.154
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr1_c1_s24449.smt2,CVC4,4045.275
