benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_2.smt2,MathSAT,4799.99000711
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-11.smt2,MathSAT-na,4799.988656
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-35.smt2,MathSAT,4799.980734
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-38.smt2,MathSAT-na,4799.9799061
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_global_4.smt2,CVC4,4799.9791109
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_lemmas_global_4.smt2,MathSAT-na,4799.973052
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.redlog_global_6.smt2,MathSAT-na,4799.9702279
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-2-all-8.smt2,SMTRAT-MCSAT,4799.9676631
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_4.smt2,MathSAT-na,4799.9668099
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-26.smt2,MathSAT-na,4799.9667149
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.01.redlog_global_4.smt2,Z3,4799.965244
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_lemmas_global_2.smt2,CVC4,4799.964511
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-4-all-33.smt2,Z3 (2018),4799.964479
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.04.redlog_global_8.smt2,MathSAT-na,4799.9622061
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.redlog_global_4.smt2,MathSAT-na,4799.9619981
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_global_8.smt2,MathSAT,4799.9585481
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.04.redlog_global_8.smt2,SMTRAT-MCSAT,4799.956355
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-16.smt2,MathSAT,4799.9498201
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-40.smt2,MathSAT,4799.949645
