benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10n.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete/fxs-bp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete3/bug_file2.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full_q_unbounded8.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/cache.inv17.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/cache.inv10.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/ooo.tag14.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard12.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard3.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bi_s.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10bid.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9idw.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard15.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/aodv/aodv5.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete/cxs-bp-ex-inp-safety.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10b.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full_q_unbounded7.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete/8stage-flush.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c8n.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full_q_unbounded4.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard6.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full_q_unbounded12.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/RDS/sorted_list_insert_noalloc3.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/RDS/sorted_list_insert_noalloc6.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nidw.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9n.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c6bid_i.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nid.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full_q_unbounded13.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f7.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/bakery/LamportBakery12.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10bidw.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/bakery/LamportBakery7.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full_q_unbounded17.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/RDS/sorted_list_insert_noalloc7.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/RDS/reverse_acyclic3.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard19.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g6idw.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10i.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c7.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/RDS/set_union4.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f7bidw.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/pete3/bug_file3.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFIDL/UCLID-pred/ibm_cache/ibm_cache_full5.smt2,Yices (2018),0.0
