benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard13.smt2,CVC4,4799.632434
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10i.smt2,veriT,4798.54475
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10.smt2,CVC4,4798.43574
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10ni.smt2,SMTInterpol,4798.43478
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10bi.smt2,CVC4,4798.32644
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10b.smt2,CVC4,4798.19134
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9bidw.smt2,CVC4,4798.14433
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9idw.smt2,veriT,4798.00021
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10bid.smt2,SMTInterpol,4796.5344
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10nidw.smt2,veriT,2335.0837610000003
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f8idw.smt2,CVC4,1043.83985
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f8bidw.smt2,CVC4,982.1118
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f8nidw.smt2,CVC4,891.23861
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10bid.smt2,veriT,771.9285169999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9.smt2,SMTInterpol,656.0923409999999
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/elf.rf12.smt2,veriT,345.6838
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard12.smt2,veriT,296.883919
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/ooo.rf11.smt2,veriT,288.25455999999997
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g9nidw.smt2,veriT,259.275195
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/cache.inv16.smt2,SMTInterpol,205.63168
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g9bidw.smt2,SMTInterpol,163.547619
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10i_i.smt2,CVC4,141.30611
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10i.smt2,CVC4,103.99924
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9nidw_i.smt2,CVC4,82.35763
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/ooo.rf13.smt2,Z3,70.61100000000002
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/cache.inv14.smt2,CVC4,65.308584
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c6id.smt2,CVC4,58.993091
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard10.smt2,veriT,50.944364
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/q2.20.smt2,Z3,43.012
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/q2.18.smt2,Z3,33.906499999999994
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/cache.inv17.smt2,Z3,26.9509
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard8.smt2,veriT,24.69839
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f7bidw.smt2,SMTInterpol,18.348925
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/cache.inv12.smt2,CVC4,15.62264
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g9b.smt2,SMTInterpol,15.311941
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c7bidw.smt2,CVC4,15.274106
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10ni.smt2,SMTInterpol,13.40543
/data/SMT-LIB-non-incremental/QF_UFIDL/pete/fxs-bp-ex.smt2,CVC4,12.744394900000001
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c7bidw_i.smt2,CVC4,12.058678
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nidw.smt2,SMTInterpol,11.338830000000002
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/bug1.smt2,CVC4,11.253001999999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g7nidw.smt2,CVC4,10.88214
