benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_22_42.smt2,Yices,10.91358
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_17_37.smt2,Yices (2018),0.29341000000000006
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_18_38.smt2,Yices (2018),0.23323000000000005
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_16_26.smt2,Yices (2018),0.04875499999999999
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_15_25.smt2,Yices (2018),0.025338000000000027
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-09-1-2-1-3.smt2,Yices (2018),0.00922384
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-15-4-2-1-4.smt2,Yices (2018),0.0062281
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard20.smt2,Yices (2018),0.004541799999999999
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-17-12-3-4-4-1.smt2,Yices (2018),0.004027069999999999
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-07-4-5-1-2.smt2,Yices (2018),0.00365795
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-05-2-4-4-5.smt2,Yices (2018),0.003555820000000001
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-19-4-5-1-1.smt2,Yices (2018),0.0030168999999999994
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-06-08-5-1-5-3.smt2,Yices (2018),0.0027580599999999997
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_06_14.smt2,Yices (2018),0.00257893
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/medium/medium17.smt2,Yices (2018),0.002572999999999999
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_07_08.smt2,Yices (2018),0.0024250699999999997
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-18-1-1-4-1.smt2,Yices (2018),0.0023978999999999997
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_06_20.smt2,Yices (2018),0.0022699
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_8_8.smt2,Yices (2018),0.002194980000000001
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_14_19.smt2,Yices,0.0021139
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_06_18.smt2,Yices (2018),0.0021080000000000005
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-13-2-4-5-3.smt2,Yices (2018),0.0020599999999999993
