benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40m.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40f.smt2,MathSAT,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m99.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40s.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40u20.19.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20u10.09.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40s.smt2,MathSAT,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20revert.u.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/30u15.14.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s25.smt2,MathSAT,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f99.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40m.smt2,MathSAT,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m25.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40f.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/10u05.04.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.easy.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f25.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/s40.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s99.smt2,Z3,0.0
