benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UF/misc/set8.smt2,UE+MathSAT,4799.9863661
/data/SMT-LIB-non-incremental/UF/misc/set20.smt2,UE+SMTInterpol,4799.985531
/data/SMT-LIB-non-incremental/UF/sledgehammer/FFT/uf.822895.smt2,UE+MathSAT,4799.9847479
/data/SMT-LIB-non-incremental/UF/grasshopper/uninstantiated/rec_traverse_precondition_of_rec_traverse_16_4.smt2,UE+Yices,4799.983358
/data/SMT-LIB-non-incremental/UF/sledgehammer/NS_Shared/smtlib.835033.smt2,UE+SMTInterpol,4799.9807199
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1414475.smt2,Z3,4799.978555
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.857242.smt2,UE+MathSAT,4799.9732839
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.939629.smt2,UE+SMTInterpol,4799.971217
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/smtlib.954663.smt2,UE+SMTInterpol,4799.970711
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_40_912_1200560.smt_in.smt2,UE+SMTInterpol,4799.969278
/data/SMT-LIB-non-incremental/UF/sledgehammer/Arrow_Order/uf.599950.smt2,UE+MathSAT,4799.969108
/data/SMT-LIB-non-incremental/UF/grasshopper/instantiated/dl_traverse_postcondition_of_dl_traverse_24_1.smt2,UE+Yices,4799.9685001
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.688460.smt2,UE+MathSAT,4799.9678029
/data/SMT-LIB-non-incremental/UF/sledgehammer/QEpres/uf.617462.smt2,SMTInterpol,4799.964193
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_42_043_1201866.smt_in.smt2,UE+SMTInterpol,4799.9640861
/data/SMT-LIB-non-incremental/UF/sledgehammer/TwoSquares/uf.800621.smt2,UE+MathSAT,4799.964071
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_52_46_030_1012489.smt_in.smt2,UE+Yices,4799.9622561
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_05_259_1960786.smt_in.smt2,UE+SMTInterpol,4799.9620781
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_51_06_602_1291091.smt_in.smt2,SMTInterpol,4799.9616271
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_25_033_1111490.smt_in.smt2,UE+MathSAT,4799.9591149
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_25_816_2396104.smt_in.smt2,UE+MathSAT,4799.959076
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/gandl/bird_tree/x2015_09_10_16_54_42_821_1024603.smt_in.smt2,UE+SMTInterpol,4799.9590541
