benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.test.Print.004.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.934973.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.633295.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.996928.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.739915.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.InitBlock.004.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.016.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.TypeModifierPragmaVec.015.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/BasicMethodology_BasicMethodology.P.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.703848.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.724613.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.623825.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.Name.261.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.Name.001.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1115759.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.1097963.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.914026.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.810431.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Capture_Capture.Caller0.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.ContinueStmt.005.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.CatchClause.002.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1154836.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.PrintSpec.004.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.753569.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.647292.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1081492.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.ExprVec.017.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.777364.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.816238.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/tokenreader/poll-24.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1462182.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1377512.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Quantifiers_Q-noinfer.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/StrongNorm/smtlib.567473.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Interval_Interval.Shift_System.Int32.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Immutable_test3.Typeof..ctor.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1339203.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Change769_Test3..ctor.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/BasicMethodology_Component..ctor_System.Int32_System.Boolean.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.filespace.SlowQuery.005.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1243180.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.772150.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.984730.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/WC-EI2_RTE.ExecuteInstruction-vc_nested.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/clock/printtime-7.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.util.FileCorrelatedReader.006.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/tismain/init-4.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/List_Node.M.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Chunker4_Chunker..ctor_System.String_notnull_System.Int32.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.800518.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.PrimitiveType.003.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.718540.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Array2_test3.MyClass2..ctor.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/Boxes_Boxes_2.P0_Boxes_2..type.parameter.T.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/QuantifierVisibilityInvariant_B.SpecSharp.CheckInvariant_System.Boolean.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TypeSafe/smtlib.1329829.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/NS_Shared/smtlib.902898.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/tokenreader/poll/checkcardstate-9.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.003.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/instantiated/contains_postcondition_of_contains_49_7.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.666358.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.1046464.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.util.Set.811.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1233359.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/keystore/keymatchingissuerpresent-4.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.846161.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/StrictReadOnly_C1.W2.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TypeSafe/smtlib.832368.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/boogie/loopInvOnDemand_M.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1004961.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.714218.smt2,Alt-Ergo,0.0
