benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_clnt.blast.02_true-unreach-call.i.cil.c.smt2,CVC4,3013.958729696723
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.06_true-unreach-call.i.cil.c.smt2,CVC4,2937.7414215200974
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.15_false-unreach-call.i.cil.c.smt2,CVC4,2910.652407244872
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.14_false-unreach-call.i.cil.c.smt2,CVC4,2892.5011414840533
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.07_false-unreach-call.i.cil.c.smt2,MathSAT5,2048.0863395135207
/data/SMT-LIB-incremental/QF_AUFLIA/safari/german_07.smt2,CVC4,1840.2716692063784
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.06_false-unreach-call.i.cil.c.smt2,MathSAT5,1744.6643062437522
/data/SMT-LIB-incremental/QF_AUFLIA/safari/crash3.smt2,SMTInterpol,1657.1093568210808
/data/SMT-LIB-incremental/QF_AUFLIA/safari/szymanski_at.smt2,SMTInterpol,932.898
/data/SMT-LIB-incremental/QF_AUFLIA/safari/german_buggy.smt2,CVC4,898.5334
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.07_true-unreach-call.i.cil.c.smt2,SMTInterpol,525.979
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.12_false-unreach-call.i.cil.c.smt2,SMTInterpol,493.282
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateKojak/s3_clnt.blast.01_true-unreach-call.i.cil.c.prep.smt2,MathSAT5,34.5092
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.10_false-unreach-call.i.cil.c.smt2,Yices,19.406000000000006
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.16_false-unreach-call.i.cil.c.smt2,Yices,17.98400000000001
/data/SMT-LIB-incremental/QF_AUFLIA/safari/futurebus.smt2,CVC4,17.189408
/data/SMT-LIB-incremental/QF_AUFLIA/safari/szymanski.smt2,CVC4,15.953594
