benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLIA/kind/car_6_e1_152.ec.smt2,Z3 (2018),619.9719999999999
/data/SMT-LIB-incremental/QF_UFLIA/kind/durationThm_2.ec.smt2,Yices,618.1518181818183
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_2_e1_190.ec.smt2,Yices,510.56081081081084
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e2_2799_e3_1915.ec.smt2,Z3,447.4676271186436
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e3_1540_e1_5048.ec.smt2,Z3,442.50810055865895
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_1_e1_14612_e1_268_e7_501.ec.smt2,Z3,395.2841176470588
/data/SMT-LIB-incremental/QF_UFLIA/kind/ILLINOIS_5_e7_692_e7_2865.ec.smt2,Z3,382.38011952191255
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_9_e7_1843_e2_1145.ec.smt2,Z3,376.73418604651215
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_13_e3_1418_e3_2761.ec.smt2,Z3,363.6363636363635
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4.ec.smt2,Z3,352.5023728813562
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_luke_1a_e2_284_e2_2755.ec.smt2,Z3,349.504563106796
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_14_e1_5710.ec.smt2,Z3,321.4518181818182
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_4_e3_3511_e3_422.ec.smt2,Z3,298.88268482490275
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_9_e7_1843_e1_5434.ec.smt2,Z3,292.933255813954
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_10_e7_919_e2_3192.ec.smt2,Z3,291.41857142857134
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e2_2799.ec.smt2,Z3,288.0999999999999
/data/SMT-LIB-incremental/QF_UFLIA/kind/SYNAPSE_6_e8_1147_e2_1326.ec.smt2,CVC4,283.4578
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_4_e3_3511_e2_1923.ec.smt2,Z3,283.37483394833953
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_1_e1_3184_e7_1888.ec.smt2,Z3,271.4385714285713
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_8_e7_3752.ec.smt2,Z3,271.32857142857165
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_13.ec.smt2,Z3,269.8824852071007
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_4_e3_3511_e5_3248.ec.smt2,Z3,254.50505494505478
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_1_e2_1997_e7_3613_e2_3409.ec.smt2,Z3,245.77313253012107
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e1_4312.ec.smt2,Z3,241.32078212290526
/data/SMT-LIB-incremental/QF_UFLIA/kind/rtp_5_e7_3972.ec.smt2,Z3,225.6410256410254
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_11_e1_2450_e3_2330.ec.smt2,Z3 (2018),154.83870967741927
