benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekh_ctm_false-unreach-call.3.c.smt2,MathSAT5,3533.2598
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product22_false-unreach-call.cil.c.smt2,Z3,257.14099999999996
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product26_false-unreach-call.cil.c.smt2,Z3,247.32699999999997
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--char--hw_random--virtio-rng.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,Z3,228.03404
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pipeline_false-unreach-call_false-termination.cil.c.smt2,Z3,196.161
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product18_false-unreach-call.cil.c.smt2,Z3,195.76600000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.sum_array_true-unreach-call.i.smt2,MathSAT5,123.7076
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product24_false-unreach-call.cil.c.smt2,Z3,120.90500000000003
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_ActiveStandby_true-unreach-call.ufo.BOUNDED-10.pals.c.smt2,Z3,108.07399999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_20_false-unreach-call.c.smt2,Z3,106.48889999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product28_false-unreach-call.cil.c.smt2,Z3,105.11099999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product32_false-unreach-call.cil.c.smt2,Z3,81.14600000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.10_true-unreach-call_false-termination.cil.c.smt2,Z3,72.28999999999996
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.11_true-unreach-call_false-termination.cil.c.smt2,Z3,59.990999999999985
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_lcr.8_true-unreach-call.ufo.UNBOUNDED.pals.c.smt2,Z3,59.65859999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.pc_sfifo_1_true-unreach-call_false-termination.cil.c.smt2,Z3,48.97239999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.32_7a_cilled_true-unreach-call_linux-3.8-rc1-32_7a-drivers--staging--rtl8192e--rtl8192e--r8192e_pci.ko-ldv_main7_sequence_infinite_withcheck_stateful.cil.out.c.smt2,Z3,48.78356
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_40_false-unreach-call.c.smt2,MathSAT5,44.29939999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem16_08_false-unreach-call.c.smt2,Z3,42.1504
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_50_false-unreach-call.c.smt2,MathSAT5,39.541
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem05_30_false-unreach-call.c.smt2,Z3,38.03869999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7_cilled_false-unreach-call_const_ok_linux-32_1-drivers--input--mouse--synaptics_usb.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,Z3,36.44449999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr_1_alt_true-unreach-call.BV.c.cil.c.smt2,Z3,35.335100000000004
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_lcr.8_false-unreach-call.1.ufo.BOUNDED-16.pals.c.smt2,Z3,33.18064
