benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekh_ctm_false-unreach-call.3.c.smt2,CVC4,3533.3298
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_00_true-unreach-call.c.smt2,SMTInterpol,2247.2169999999996
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product18_false-unreach-call.cil.c.smt2,SMTInterpol,1686.349
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pipeline_false-unreach-call_false-termination.cil.c.smt2,SMTInterpol,1097.0013846153845
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.07_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,903.578
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product28_false-unreach-call.cil.c.smt2,CVC4,791.2929999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--char--hw_random--virtio-rng.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,Z3 (2019),233.58704
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.kundu_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,214.7475
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem06_20_false-unreach-call.c.smt2,SMTInterpol,185.3275
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem05_00_false-unreach-call.c.smt2,SMTInterpol,166.9705
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem04_40_false-unreach-call.c.smt2,CVC4,163.8084
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product22_false-unreach-call.cil.c.smt2,MathSAT5,162.323
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7_cilled_false-unreach-call_const_ok_linux-32_1-drivers--input--mouse--synaptics_usb.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,MathSAT5,147.8195
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_productSimulator_false-unreach-call.cil.c.smt2,CVC4,120.6795
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem06_30_true-unreach-call.c.smt2,SMTInterpol,118.11315
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.cs_read_write_lock_true-unreach-call.i.smt2,CVC4,108.9926
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_ActiveStandby_true-unreach-call.ufo.BOUNDED-10.pals.c.smt2,Z3 (2019),103.39000000000001
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_20_false-unreach-call.c.smt2,Z3 (2019),102.5739
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.usb_urb-drivers-usb-misc-iowarrior.ko_false-unreach-call.cil.out.i.pp.i.smt2,CVC4,90.13495
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--video--backlight--l4f00242t03.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,MathSAT5,78.78709999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_lcr.7_false-unreach-call.1.ufo.UNBOUNDED.pals.c.smt2,CVC4,78.75413
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.04_true-unreach-call_false-termination.cil.c.smt2,CVC4,74.3268
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.sum_array_true-unreach-call.i.smt2,SMTInterpol,69.16430000000001
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7a_cilled_true-unreach-call_linux-3.8-rc1-drivers--hwmon--amc6821.ko-main.cil.out.c.smt2,CVC4,65.37605
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_opt-floodmax.5_false-unreach-call.1.ufo.UNBOUNDED.pals.c.smt2,SMTInterpol,52.32132
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_lcr.8_true-unreach-call.ufo.BOUNDED-16.pals.c.smt2,Z3 (2019),50.643100000000004
