benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekh_ctm_false-unreach-call.3.c.smt2,MathSAT5,3533.2598
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--char--hw_random--virtio-rng.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,CVC4,715.61504
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_ActiveStandby_false-unreach-call.5.ufo.BOUNDED-10.pals.c.smt2,Yices,116.31060000000001
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product24_false-unreach-call.cil.c.smt2,MathSAT5,103.20800000000003
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_00_true-unreach-call.c.smt2,Yices,79.17000000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product28_false-unreach-call.cil.c.smt2,MathSAT5,61.78399999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem04_40_false-unreach-call.c.smt2,MathSAT5,60.11139999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.11_true-unreach-call_false-termination.cil.c.smt2,Z3,59.990999999999985
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.pals_STARTPALS_ActiveStandby_false-unreach-call.5.ufo.UNBOUNDED.pals.c.smt2,Yices,53.06603
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product26_false-unreach-call.cil.c.smt2,MathSAT5,49.083999999999975
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_40_false-unreach-call.c.smt2,MathSAT5,44.29939999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.kundu_true-unreach-call_false-termination.cil.c.smt2,Yices,42.1195
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.07_true-unreach-call_false-termination.cil.c.smt2,MathSAT5,32.726
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.s3_srvr_1_alt_true-unreach-call.BV.c.cil.c.smt2,MathSAT5,30.336800000000004
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pipeline_false-unreach-call_false-termination.cil.c.smt2,Yices,29.47999999999996
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product18_false-unreach-call.cil.c.smt2,MathSAT5,25.714
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.pipeline_false-unreach-call_false-termination.cil.c.smt2,MathSAT5,25.475360000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_productSimulator_false-unreach-call.cil.c.smt2,Z3,21.017999999999997
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec11_productSimulator_false-unreach-call.cil.c.smt2,SMTInterpol,17.5697
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem06_20_false-unreach-call.c.smt2,Z3,13.313099999999999
