benchmark,prediction,loss
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00099.smt2,Z3,2523.3264060344827
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00645.smt2,Z3,2469.640378294118
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00659.smt2,Z3,2447.1655429999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00647.smt2,Z3,2446.9075799999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00022.smt2,Z3,2375.6637
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00148.smt2,Z3,2260.2011455172415
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00421.smt2,Z3,2237.758567243675
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00419.smt2,Z3,2192.3311927051673
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0000/00243.smt2,Z3,2086.2291999999998
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0001/00245.smt2,Z3,2062.9642999999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00643.smt2,Z3,2033.7657186956524
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00624.smt2,Z3,2005.8708094455853
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00172.smt2,Z3,1991.469455832241
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00661.smt2,Z3,1970.1885214285712
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00641.smt2,Z3,1941.9682562068967
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00626.smt2,Z3,1920.9788968143353
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0016/00124.smt2,Z3,1918.9366623376623
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00077.smt2,Z3,1893.4178761068702
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00021.smt2,Z3,1885.6156277142854
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00041.smt2,Z3,1827.822828571428
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00395.smt2,Z3,1736.0947888888888
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00117.smt2,Z3,1731.0196933333334
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00938.smt2,Z3,1722.6999796363634
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00111.smt2,Z3,1705.3308176923076
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00211.smt2,Z3,1641.3735351578946
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00750.smt2,Z3,1641.0181631578948
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00376.smt2,Z3,1573.5584666666664
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00375.smt2,Z3,1566.239396092362
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00106.smt2,Z3,1549.3961021951213
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00420.smt2,Z3,1544.1724909090908
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00104.smt2,Z3,1522.7660343243242
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00581.smt2,Z3,1498.3873899999999
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00124.smt2,Z3,1446.6858289473685
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00126.smt2,Z3,1437.5877199999995
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00013.smt2,Z3,1418.0822591818178
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00515.smt2,Z3,1414.8606537525352
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0000/00245.smt2,Z3,1409.8477832512317
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00379.smt2,Z3,1404.380766666667
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00115.smt2,Z3,1379.504291818182
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00083.smt2,Z3,1349.934666842105
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00444.smt2,Z3,1320.4877026086958
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00747.smt2,Z3,1312.4065907317072
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00401.smt2,Z3,1307.53838490566
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00121.smt2,Z3,1300.3107864516128
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00125.smt2,Z3,1291.72543
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00377.smt2,Z3,1264.1519592920354
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00118.smt2,Z3,1225.140526744186
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00171.smt2,Z3,1221.4291561797754
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0000/00374.smt2,Z3,1202.2726766121268
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00046.smt2,Z3,1200.0199709999997
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00028.smt2,Z3,1199.987545
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00034.smt2,Z3,1199.9735099
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00006.smt2,Z3,1199.9525370000001
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00036.smt2,Z3,1199.9411609999997
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00072.smt2,Z3,1199.9200108108107
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00011.smt2,Z3,1199.892081
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00096.smt2,Z3,1199.7093949999999
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00076.smt2,Z3,1199.7000739999999
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0008/00094.smt2,Z3,1198.7454900000002
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0024/00092.smt2,Z3,1198.6660399999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0003/00324.smt2,Z3,1198.6524099999997
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0003/00241.smt2,Z3,1198.63672
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0001/00368.smt2,Z3,1198.6349299999997
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0003/00259.smt2,Z3,1198.6245199999998
