benchmark,prediction,loss
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0015/00255.smt2,SMTInterpol,3597.53783
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0024/00077.smt2,SMTInterpol,3596.99674
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00147.smt2,CVC4,3596.3088599999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00336.smt2,CVC4,3594.1359299999995
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00520.smt2,SMTInterpol,3568.7081
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00454.smt2,CVC4,3554.5251000000007
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0016/00726.smt2,SMTInterpol,3533.5848
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0016/00245.smt2,SMTInterpol,3488.71
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0005/00065.smt2,SMTInterpol,3431.1589999999997
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0016/00133.smt2,SMTInterpol,3416.127
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00242.smt2,CVC4,3330.790481818182
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00313.smt2,CVC4,3303.337
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0016/00196.smt2,SMTInterpol,3274.79
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0001/00176.smt2,CVC4,3175.2189999999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00148.smt2,SMTInterpol,3018.8018351724136
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00407.smt2,CVC4,2971.929
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00012.smt2,CVC4,2921.9132162162164
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0002/00181.smt2,SMTInterpol,2862.6037499999998
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00308.smt2,CVC4,2838.031
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00533.smt2,CVC4,2799.7389999999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00508.smt2,CVC4,2758.465
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00073.smt2,CVC4,2583.6
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0016/00536.smt2,SMTInterpol,2553.9400000000005
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00645.smt2,Z3,2469.640378294118
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00659.smt2,Z3,2447.1655429999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00647.smt2,Z3,2446.9075799999996
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0023/00960.smt2,CVC4,2419.5905999999995
/data/SMT-LIB-incremental/UF/20190906-CLEARSY/0005/00006.smt2,CVC4,2398.3182970000003
