benchmark,prediction,loss
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1210_false-unreach-call.c_0.smt2,UE+MathSAT,2399.9516
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0320_true-unreach-call.c_4.smt2,UE+MathSAT,2399.869074
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0620a_true-unreach-call.c_1.smt2,UE+MathSAT,2.48818
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0620b_true-unreach-call.c_6.smt2,UE+MathSAT,2.360955
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0530b_true-unreach-call.c_2.smt2,UE+MathSAT,2.3395019
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0530b_true-unreach-call.c_8.smt2,UE+MathSAT,2.3021549
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0684a_true-unreach-call.c_4.smt2,UE+MathSAT,2.2635289999999997
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0621b_true-unreach-call.c_1.smt2,UE+MathSAT,2.20807
/data/SMT-LIB-non-incremental/ABVFP/20170501-Heizmann-UltimateAutomizer/filter_iir_true-unreach-call.c_35.smt2,UE+MathSAT,1.5997199999999996
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_3.smt2,CVC4,0.080597
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_7.smt2,CVC4,0.050975999999999994
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0530a_true-unreach-call.c_4.smt2,CVC4 (2018),0.0042310000000000125
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0620a_true-unreach-call.c_3.smt2,CVC4 (2018),0.002900999999999987
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0530b_true-unreach-call.c_5.smt2,CVC4 (2018),0.0013021999999999895
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0670_true-unreach-call.c_5.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_8.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_13.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_0.smt2,UE+MathSAT,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_4.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_12.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_11.smt2,UE+MathSAT,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_9.smt2,UE+MathSAT,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_10.smt2,UE+MathSAT,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_6.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_13.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_2.smt2,UE+MathSAT,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0670_true-unreach-call.c_8.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_1.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float22_true-unreach-call_true-termination.i_5.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/ABVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0530b_true-unreach-call.c_7.smt2,CVC4 (2018),0.0
