benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/O512-022__power_and_sum__main.adb_15_24_range_check___00.smt2,Vampire,2399.951305
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/O512-022__power_and_sum__main.adb_16_31_range_check___00.smt2,Vampire,2399.9352801
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/O512-022__power_and_sum__main.adb_16_51_range_check___00.smt2,Vampire,2399.9274109
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/O512-022__power_and_sum__main.adb_16_61_range_check___00.smt2,Vampire,2399.89058
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_31_35_loop_invariant_preserv___00.smt2,Vampire,755.258026
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_38_32_loop_invariant_preserv___00.smt2,Vampire,472.79944009999997
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_138_36_range_check4___00.smt2,Vampire,355.114104
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_350db2_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,296.419915
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_72_88_overflow_check___00.smt2,Vampire,262.120519
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_69_67_overflow_check___00.smt2,Vampire,257.411234
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_69_37_overflow_check___00.smt2,Vampire,256.0135151
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_4f561d_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,253.7932241
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_72_52_overflow_check___00.smt2,Vampire,253.056145
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_63_99_overflow_check___00.smt2,Vampire,252.97777109999998
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_72_88_index_check___00.smt2,Vampire,252.63566600000001
