benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4531298338524269383.smt2,Z3,2399.9877631
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5490683173861403665.smt2,Z3,2399.9870701
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6965910452019928937.smt2,Z3,2399.9679499
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1933252105235858757.smt2,CVC4 (2018),2399.966343
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2945122671101297402.smt2,Vampire,2399.965789
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2770257080905873177.smt2,CVC4,2399.9656129
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5841207815239568309.smt2,veriT,2399.9655281
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2211293285152832464.smt2,Vampire,2399.964932
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4243065834464963026.smt2,CVC4,2399.96454
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3110251301875080922.smt2,SMTInterpol,2399.963562
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5721586361833342612.smt2,CVC4 (2018),2399.960556
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2478386292035081443.smt2,veriT+vite,2399.960201
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2933948898217611746.smt2,Alt-Ergo,2399.953912
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7282295426682651749.smt2,veriT+vite,2399.9538529
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2197179011524859983.smt2,veriT+vite,2399.9026401
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5056479549099244900.smt2,Alt-Ergo,2399.902234
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4243698327582309394.smt2,Vampire,2399.898159
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8471254732275803995.smt2,veriT,2399.892272
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4130202831633010286.smt2,veriT,2399.890937
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2925934310077274889.smt2,veriT+vite,2399.862256
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt776534273661115206.smt2,Alt-Ergo,2399.848723
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1520268918360071878.smt2,CVC4,2399.843427
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1160317309641309136.smt2,Z3,2399.774026
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5442574475975548634.smt2,veriT,2399.715263
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4068148182910184800.smt2,veriT+vite,2399.675139
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6231783016526122070.smt2,Z3,2399.0891
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4806190877503280884.smt2,veriT+vite,2398.76442
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5985719906973356009.smt2,veriT,2398.59914
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1735526854253369868.smt2,CVC4 (2018),2398.22508
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2177400658467333293.smt2,CVC4 (2018),2396.60245
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7810685715451945039.smt2,Vampire,2391.46739
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7352242275460059080.smt2,Z3,2390.63621
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3926937364471465169.smt2,SMTInterpol,2389.4139
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5789153088241118438.smt2,CVC4,2384.9457
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6897394740377480780.smt2,CVC4,2380.6925
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8873714405967087274.smt2,Z3,2369.9017
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4809543988069777244.smt2,veriT+vite,2346.6821
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2913938272946865103.smt2,CVC4 (2018),2210.015
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1011466128499444518.smt2,Z3,2187.124
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt575695382146512568.smt2,Alt-Ergo,2140.916
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7140623754260504820.smt2,Vampire,2133.673
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4164342821240610005.smt2,Vampire,2122.233
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt481251370334843030.smt2,Vampire,2064.301
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6744987552257189933.smt2,Vampire,2063.825
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2849759542855227302.smt2,Vampire,2061.679
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt433470598470941134.smt2,Z3,2055.031
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2220992957640938153.smt2,CVC4,1828.762
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt549729864003339810.smt2,Vampire,1814.598
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt863293257111213279.smt2,Alt-Ergo,1805.129
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1783163497306728397.smt2,veriT+vite,1612.685
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt9141154473068269217.smt2,CVC4,1351.91
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4727694940405406976.smt2,CVC4,482.3532511
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt395210415213723825.smt2,CVC4,480.629957
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt9171785252644320196.smt2,Alt-Ergo,448.12203
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7636605259782707935.smt2,CVC4,394.4454091
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1630225104785523677.smt2,veriT,337.391285
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3501099348439958203.smt2,veriT,308.241122
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4638386701480470020.smt2,veriT,270.367837
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5741445985442305707.smt2,veriT,270.356957
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8392344886271570289.smt2,CVC4,160.0477
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5139619294253157174.smt2,CVC4 (2018),120.2682311
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7515997702989579631.smt2,CVC4 (2018),79.502107
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt385682537143830981.smt2,CVC4,65.4679771
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3499630869687200278.smt2,Vampire,64.00914
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6907632290353644875.smt2,veriT+vite,59.66147
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6189875178705914803.smt2,CVC4 (2018),48.9717051
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8152635696307671474.smt2,Vampire,40.834018
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5682467475713258801.smt2,CVC4,40.448241
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1061149044167816919.smt2,CVC4,39.359529
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1701469520431276960.smt2,CVC4 (2018),34.973574
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3143710063333620590.smt2,CVC4,33.479076
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8422379381421025674.smt2,CVC4,31.5578429
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2558929664246797875.smt2,CVC4,30.648436
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5536435916062976567.smt2,CVC4,30.5079009
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4842420488457315072.smt2,CVC4,28.5148
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7628916202494003890.smt2,CVC4,18.539000000000044
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2181837550387132826.smt2,Alt-Ergo,16.592482099999998
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3178297671983108390.smt2,veriT+vite,13.527543999999999
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2598054540567433189.smt2,veriT+vite,12.9903411
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5067406709002894957.smt2,veriT+vite,12.974195000000002
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7902380039346285761.smt2,Vampire,10.45877
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6499074675450615932.smt2,CVC4,7.158242
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt735061599307476599.smt2,SMTInterpol,6.389760099999999
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7802072824398750747.smt2,Z3,6.3084659
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2240465006822259718.smt2,Z3,5.961085
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4365346012791417673.smt2,Vampire,4.804320000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4448421327785090569.smt2,veriT,4.268146
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2922141961547233069.smt2,Z3,4.263637999999999
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2675242986386448481.smt2,Z3,3.933883
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt731156554680438895.smt2,Vampire,3.0198779
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2464500658884590856.smt2,Vampire,2.7200421
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7811595426531713527.smt2,Z3,2.2308439
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt392436398621695598.smt2,Vampire,2.0934828999999997
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5131426681804051288.smt2,veriT+vite,1.8573509
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4155457707813979895.smt2,veriT+vite,1.7966159
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3009892311400414766.smt2,Vampire,1.7635439000000002
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3540916932273223951.smt2,Vampire,1.4588421
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3893997862879221608.smt2,Vampire,1.456067
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7470197949833608476.smt2,Z3,1.2777849
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6490689093819807526.smt2,Vampire,1.2709149
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6225067006144487894.smt2,Vampire,1.1498490000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1069073726844330930.smt2,Vampire,1.0373091
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8642464181500320240.smt2,Vampire,1.035237
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7106093597011515590.smt2,Vampire,1.030249
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt751118151668486121.smt2,Vampire,0.9992830000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6836478990390134178.smt2,Vampire,0.9551839
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3862661567855839424.smt2,Alt-Ergo,0.9390639000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1193198426916706243.smt2,Vampire,0.9295369
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7664760228227157670.smt2,Vampire,0.788811
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt231466713630559956.smt2,Z3,0.781486
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt291631609534634540.smt2,Vampire,0.74863
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8557617407664943387.smt2,Vampire,0.7483949
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6537287558714942037.smt2,Alt-Ergo,0.7272599000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4081111758072555225.smt2,Alt-Ergo,0.702455
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5340742117454713616.smt2,Vampire,0.6711469999999999
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3091315047088314956.smt2,Vampire,0.6629449999999999
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3569637260730897895.smt2,Vampire,0.644308
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4165328582672105645.smt2,SMTInterpol,0.611054
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5555108660672182301.smt2,Vampire,0.5940201
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2631710311777808306.smt2,Vampire,0.581232
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5894235466291698095.smt2,Vampire,0.5705321
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt183232006382492806.smt2,Vampire,0.5331330000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6289324050202710062.smt2,SMTInterpol,0.521311
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8583587333680546075.smt2,Vampire,0.5070669
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5586736073099019802.smt2,CVC4,0.502154
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4773935331339704456.smt2,SMTInterpol,0.4910741
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt80978482681171323.smt2,Vampire,0.48138500000000006
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4941983342121664889.smt2,CVC4,0.4813029
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7734021898012372390.smt2,Vampire,0.4800051
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1843027498521800594.smt2,Vampire,0.4757641
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6478567207695430123.smt2,SMTInterpol,0.458159
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5391972008348899311.smt2,Vampire,0.45661290000000004
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4956062580791502001.smt2,Vampire,0.4478311
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1030931218679039473.smt2,CVC4,0.4427679
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4827225259784242858.smt2,Vampire,0.432533
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1976291256198119678.smt2,SMTInterpol,0.42937810000000004
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6148582384201511625.smt2,Vampire,0.41926800000000003
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7637470937819511414.smt2,SMTInterpol,0.414815
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3436919881430681924.smt2,SMTInterpol,0.4135581
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt898237451114670826.smt2,Z3,0.40853400000000006
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2182341684632779640.smt2,SMTInterpol,0.39527
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2833472545950358389.smt2,Vampire,0.3942719
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5384591364632599418.smt2,SMTInterpol,0.389613
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6007374431985857542.smt2,CVC4,0.389228
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt667602561383150784.smt2,Vampire,0.382301
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6386819825693483292.smt2,SMTInterpol,0.37982200000000005
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1785980415267590231.smt2,Vampire,0.3796621
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6026438722480841285.smt2,Vampire,0.3757929
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7759702553120959092.smt2,Vampire,0.3697321
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3509430863777721379.smt2,Vampire,0.366803
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7436168073112685654.smt2,Vampire,0.3661869
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7580277759388273782.smt2,Z3,0.36149299999999995
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4262627713553868371.smt2,SMTInterpol,0.358675
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt741234174882568077.smt2,SMTInterpol,0.35427190000000003
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3183375387844720024.smt2,Vampire,0.35192999999999997
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1318197220122429316.smt2,SMTInterpol,0.35007
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5932798221671213523.smt2,SMTInterpol,0.3341001
