benchmark,prediction,loss
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_eq_bvneg_32bit.smt2,Z3,2399.985749
/data/SMT-LIB-non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/soft_float_4_true-unreach-call_true-no-overflow_true-termination.c.cil.c_1.smt2,CVC4,2399.9853119
/data/SMT-LIB-non-incremental/BV/2017-Preiner-UltimateAutomizer/Primes_true-unreach-call.c_671.smt2,Z3,2399.9841111
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/filesys_fastfat_write.c.smt2,Z3,2399.9761951
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/filesys_smbmrx_smbxchng.c.smt2,Z3,2399.9710629
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_47.smt2,Bitwuzla,2399.9708649
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/bouncing-ball-simple-node5963.smt2,Bitwuzla,2399.965807
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_10.smt2,UE+MathSAT,2399.9627439
/data/SMT-LIB-non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_7.smt2,CVC4,2399.881766
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_eq_bvmul_64bit.smt2,Bitwuzla,2399.423491
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/ETCS-essentials-live2.proof-node1339.smt2,Bitwuzla,2399.408092
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/sum02_true-unreach-call_true-no-overflow.i_416.smt2,Bitwuzla,2399.202588
/data/SMT-LIB-non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_20.smt2,Bitwuzla,2399.04025
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_1.smt2,Z3,2397.66481
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_43.smt2,Z3,2397.54327
/data/SMT-LIB-non-incremental/BV/llvm13-smtlib/02.smt2,Bitwuzla,2397.2969
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,Z3,2395.56505
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/audio_ac97_wavepcistream.cpp.smt2,Z3,2393.76016
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsgt_bvurem0_64bit.smt2,Bitwuzla,2393.70183
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/bouncing-ball-simple-node5919.smt2,Z3,2385.7706
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsgt_bvurem1_64bit.smt2,Z3,2374.7403
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_6_19.smt2,Z3,2370.9848
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_10.smt2,Z3,2342.0828
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_54.smt2,Z3,2317.6141
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,Z3,2073.6059999999998
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_extsta_st_misc.c.smt2,CVC4,2057.105
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvugt_bvudiv0_32bit.smt2,Z3,1945.755
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsgt_bvudiv0_32bit.smt2,Z3,1867.856
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_21.smt2,Z3,1855.161
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsle_bvmul_32bit.smt2,CVC4,439.67278999999996
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_ne_bvurem0_64bit.smt2,CVC4,268.77077
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_6_37.smt2,Z3,235.74911999999998
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/network_usbnwifi_mp_util.c.smt2,Z3,204.9019
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_42.smt2,Bitwuzla,140.44369999999998
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_14.smt2,Bitwuzla,124.10728000000002
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_64.smt2,Bitwuzla,104.8752
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsge_bvurem0_32bit.smt2,Bitwuzla,98.38619800000001
