benchmark,prediction,loss
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1032a_true-unreach-call.c_0.smt2,Z3 (2019),2399.9658601
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1130b_true-unreach-call.c_0.smt2,UE+MathSAT,2399.9443759
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_0.smt2,CVC4,2399.920236
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0681a_true-unreach-call.c_2.smt2,CVC4,2399.9129649
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1271a_true-unreach-call.c_4.smt2,CVC4,2399.860879
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661a_true-unreach-call.c_4.smt2,Z3 (2019),2399.727908
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1271a_true-unreach-call.c_0.smt2,CVC4,2399.137715
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0670_true-unreach-call.c_1.smt2,CVC4,2399.128507
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/inv_square_true-unreach-call.c_79.smt2,UE+MathSAT,2398.96109
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/inv_square_true-unreach-call.c_87.smt2,UE+MathSAT,2398.95411
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0876_true-unreach-call.c_12.smt2,CVC4,2396.86491
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_17.smt2,CVC4,2396.1287
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0876_true-unreach-call.c_15.smt2,CVC4,2392.43267
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_3026.smt2,UE+MathSAT,2368.0188
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_3038.smt2,UE+MathSAT,2357.7106
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_2063.smt2,UE+MathSAT,2320.8423
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1052d_true-unreach-call.c_16.smt2,CVC4,1939.916
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0883_true-unreach-call.c_5.smt2,Z3 (2019),552.987016
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1122a_true-unreach-call.c_1.smt2,Z3 (2019),454.95774
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0620a_true-unreach-call.c_7.smt2,Z3 (2019),304.85902999999996
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_2067.smt2,Z3 (2019),5.532217
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_2065.smt2,UE+MathSAT,3.065939
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0880_true-unreach-call.c_3.smt2,Z3 (2019),2.8271070999999997
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1121a_true-unreach-call.c_1.smt2,UE+MathSAT,2.506834
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0460_true-unreach-call.c_4.smt2,UE+MathSAT,2.4869689999999998
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0260_true-unreach-call.c_4.smt2,UE+MathSAT,2.45091
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0490a_true-unreach-call.c_6.smt2,UE+MathSAT,2.341032
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/rlim_invariant_true-unreach-call.c_1098.smt2,UE+MathSAT,2.317717
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/rlim_invariant_true-unreach-call.c_1100.smt2,UE+MathSAT,2.317264
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_5.smt2,Z3 (2019),2.3049881
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0490a_true-unreach-call.c_4.smt2,UE+MathSAT,2.187432
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_1264.smt2,UE+MathSAT,2.0659929999999997
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0875_true-unreach-call.c_9.smt2,Z3 (2019),2.056777
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_18.smt2,Z3 (2019),2.005462
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0875_true-unreach-call.c_7.smt2,Z3 (2019),1.5309599
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0876_true-unreach-call.c_11.smt2,Z3 (2019),1.357979
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1122a_true-unreach-call.c_3.smt2,CVC4,0.63721
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0621b_true-unreach-call.c_2.smt2,Z3 (2019),0.4979501
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1122a_true-unreach-call.c_2.smt2,CVC4,0.4344100000000002
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_4.smt2,CVC4,0.22435690000000003
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1271a_true-unreach-call.c_2.smt2,CVC4,0.2089439
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_8.smt2,CVC4,0.1980831
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_11.smt2,CVC4,0.17967999999999998
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_9.smt2,CVC4,0.1401231
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_12.smt2,CVC4,0.13239299999999998
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_4.smt2,Z3 (2019),0.0997979
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0662a_true-unreach-call.c_2.smt2,Z3 (2019),0.0908679
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_6.smt2,Z3 (2019),0.08361509999999998
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_5.smt2,Z3 (2019),0.071953
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0681a_true-unreach-call.c_4.smt2,Z3 (2019),0.0664361
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_4.smt2,Z3 (2019),0.04646090000000001
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0490a_true-unreach-call.c_7.smt2,Z3 (2019),0.040179900000000005
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_2.smt2,Z3 (2019),0.03981290000000001
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0663b_true-unreach-call.c_2.smt2,Z3 (2019),0.0374032
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_8.smt2,Z3 (2019),0.0365359
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0681a_true-unreach-call.c_5.smt2,Z3 (2019),0.03647700000000001
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1250_true-unreach-call.c_1.smt2,CVC4,0.0332441
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1250_true-unreach-call.c_2.smt2,CVC4,0.0332332
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_1250_true-unreach-call.c_0.smt2,CVC4,0.033106000000000003
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_6.smt2,Z3 (2019),0.032769099999999995
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_3.smt2,Z3 (2019),0.027246900000000004
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0730b_true-unreach-call.c_2.smt2,Z3 (2019),0.023907899999999996
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_11.smt2,Z3 (2019),0.0161289
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_1.smt2,Z3 (2019),0.015581099999999987
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_12.smt2,Z3 (2019),0.01548999999999999
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_3.smt2,Z3 (2019),0.0122062
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0686a_true-unreach-call.c_5.smt2,Z3 (2019),0.012024999999999994
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_5.smt2,Z3 (2019),0.010961200000000004
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0930_true-unreach-call.c_14.smt2,Z3 (2019),0.010855099999999993
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_3.smt2,Z3 (2019),0.009432999999999997
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0740_true-unreach-call.c_0.smt2,Z3 (2019),0.009303900000000004
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/rlim_invariant_true-unreach-call.c_1000.smt2,Z3 (2019),0.009001000000000037
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680a_true-unreach-call.c_2.smt2,Z3 (2019),0.007904099999999997
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680a_true-unreach-call.c_3.smt2,Z3 (2019),0.007830799999999999
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_1.smt2,Z3 (2019),0.006619100000000003
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682b_true-unreach-call.c_1.smt2,Z3 (2019),0.006215100000000001
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0683a_true-unreach-call.c_2.smt2,Z3 (2019),0.0055518999999999985
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_7.smt2,Z3 (2019),0.004359100000000005
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1032c_true-unreach-call.c_0.smt2,Z3 (2019),0.0022702
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_26.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0832_true-unreach-call.c_7.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_3025.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0720_true-unreach-call.c_0.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0730b_true-unreach-call.c_1.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_1.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1012a_true-unreach-call.c_2.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_5.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1270c_true-unreach-call.c_0.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0620b_true-unreach-call.c_1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_20.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661a_true-unreach-call.c_3.smt2,CVC4,0.0
