benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_units_meter_ft.x86_64/query.097.smt2,COLIBRI,2399.9798381
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_halve_longdouble-flow.x86_64/query.1.smt2,COLIBRI,2399.9745161
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_inf_longdouble.x86_64/query.07.smt2,COLIBRI,2399.9727821
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_nan_longdouble.x86_64/query.01.smt2,COLIBRI,2399.9716221
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.125.smt2,COLIBRI,2399.9665179
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.257.smt2,COLIBRI,2399.9606721
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_mod_double.x86_64/query.05.smt2,COLIBRI,2399.960026
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.275.smt2,COLIBRI,2399.959798
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_libmatheval_sym_f.x86_64/query.68.smt2,COLIBRI,2399.944662
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_halve_longdouble-flow.x86_64/query.2.smt2,COLIBRI,2399.9445749
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.335.smt2,COLIBRI,2399.9343119
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.358.smt2,COLIBRI,2399.920497
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.276.smt2,COLIBRI,2399.896859
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_sorting_full_sym_doubles.x86_64/query.21.smt2,COLIBRI,2399.858481
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.288.smt2,COLIBRI,2399.851156
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_interval_klee_no_bug_symbolic_increment.x86_64/query.14.smt2,MathSAT5,2399.675956
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.132.smt2,COLIBRI,2399.671004
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_cos_polynomial.x86_64/query.7.smt2,MathSAT5,2399.654823
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_nan_longdouble.x86_64/query.13.smt2,COLIBRI,2399.523782
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_nan_longdouble.x86_64/query.17.smt2,COLIBRI,2399.436628
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.328.smt2,COLIBRI,2399.160324
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.094.smt2,COLIBRI,2399.036555
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.369.smt2,COLIBRI,2394.42145
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_sorting_doubles.x86_64/query.56.smt2,CVC4,2360.7368
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_gsl_benchmarks_statistics_klee.x86_64/query.14.smt2,COLIBRI,2319.8051
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_sorting_full_sym_floats.x86_64/query.65.smt2,COLIBRI,1536.7179999999998
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_gmp_gmp_klee_mpqload.x86_64/query.184.smt2,CVC4,200.01453800000002
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_non_terminating_klee_bug.x86_64/query.27.smt2,MathSAT5,190.461591
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_gmp_gmp_klee_mul.x86_64/query.82.smt2,CVC4,131.901891
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_sorted_search_klee_no_bug_float.x86_64/query.95.smt2,MathSAT5,128.33839
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_real_gmp_gmp_klee_mul.x86_64/query.62.smt2,CVC4,122.982889
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_interval_klee_bug_symbolic_increment.x86_64/query.18.smt2,Bitwuzla,112.199093
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.211.smt2,CVC4,60.523970000000006
/data/SMT-LIB-non-incremental/QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_sqrt_klee.x86_64/query.35.smt2,MathSAT5,50.86191
