benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_243_sink.smt2,Z3str4,2399.974578
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_68_sink.smt2,Z3str4,2399.9736701
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query10041.smt2,CVC4,2399.9728921
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query3231.smt2,CVC4,2399.972322
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_2735_sink.smt2,Z3str4,2399.969675
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1464_sink.smt2,Z3str4,2399.9612739
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4844_sink.smt2,Z3str4,2399.948381
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_3947_sink.smt2,Z3str4,2399.9445001
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4136_sink.smt2,Z3str4,2399.901478
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5470_sink.smt2,Z3str4,2399.883645
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query8952.smt2,Z3str4,2399.843867
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query6620.smt2,Z3str4,2399.792397
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query5599.smt2,Z3str4,2399.787899
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1377_sink.smt2,Z3str4,2399.741577
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1820_sink.smt2,Z3str4,2399.738599
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3474.smt2,Z3str4,2399.544015
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3111.smt2,Z3str4,2399.472294
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_54_sink.smt2,Z3str4,2399.468671
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3236.smt2,Z3str4,2399.387642
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query6462.smt2,Z3str4,2399.230894
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query8865.smt2,Z3str4,2398.90985
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query7698.smt2,Z3str4,2398.86098
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3203.smt2,Z3str4,2398.59859
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3168.smt2,Z3str4,2394.56083
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query3487.smt2,Z3str4,2384.9572
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3185.smt2,Z3str4,2383.8487
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query6768.smt2,Z3str4,2383.4708
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1251_sink.smt2,CVC4,217.36780000000002
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query8867.smt2,CVC4,119.519012
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query10611.smt2,CVC4,112.01521690000001
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query3577.smt2,CVC4,105.13373800000001
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_3790_sink.smt2,Z3str4,39.78818
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query9416.smt2,CVC4,21.472372099999998
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5026_sink.smt2,Z3str4,16.361047
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5229_sink.smt2,Z3str4,16.10989
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3568.smt2,CVC4,15.8894851
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query5315.smt2,CVC4,10.6337751
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query3252.smt2,CVC4,10.005461
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5309_sink.smt2,Z3str4,9.605688
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3368.smt2,CVC4,7.64622
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query4293.smt2,CVC4,7.441732
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query4267.smt2,CVC4,6.6294231
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5344_sink.smt2,Z3str4,6.500681
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3177.smt2,CVC4,6.2277401
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query8468.smt2,CVC4,5.271773
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query8589.smt2,CVC4,5.2211011
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query5436.smt2,CVC4,4.0753301
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4243_sink.smt2,Z3str4,3.846359
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3133.smt2,CVC4,3.752988
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_64_sink.smt2,Z3str4,3.7389319999999997
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_2282_sink.smt2,CVC4,3.4743700000000004
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query6842.smt2,CVC4,3.363507
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5236_sink.smt2,Z3str4,3.3618369
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4374_sink.smt2,CVC4,3.3500219999999996
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5298_sink.smt2,Z3str4,3.3408490000000004
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3194.smt2,CVC4,3.2660289
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_40_sink.smt2,Z3str4,3.170206
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5230_sink.smt2,Z3str4,3.1622459999999997
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5063_sink.smt2,Z3str4,3.154428
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_3449_sink.smt2,Z3str4,3.130478
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3321.smt2,CVC4,3.0507180000000003
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4227_sink.smt2,Z3str4,2.991389
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_3051_sink.smt2,Z3str4,2.7091591000000004
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4367_sink.smt2,Z3str4,2.644011
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_2965_sink.smt2,Z3str4,2.5060499
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query3943.smt2,CVC4,2.4309939999999997
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3096.smt2,CVC4,2.398928
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5101_sink.smt2,Z3str4,2.3713979
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query7904.smt2,CVC4,2.217844
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_38_sink.smt2,Z3str4,2.2089800000000004
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4255_sink.smt2,Z3str4,2.2005719999999998
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query10629.smt2,CVC4,2.158502
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query10675.smt2,CVC4,2.1460019000000004
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5045_sink.smt2,Z3str4,2.0716609999999998
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3463.smt2,CVC4,2.0259641
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4071_sink.smt2,Z3str4,2.0102399
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3253.smt2,CVC4,2.0095501000000002
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3361.smt2,CVC4,1.9844229
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5165_sink.smt2,Z3str4,1.9361849
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3473.smt2,CVC4,1.8677971
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4602_sink.smt2,Z3str4,1.7253859
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_774_sink.smt2,Z3str4,1.69374
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4158_sink.smt2,Z3str4,1.6272719
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4350_sink.smt2,Z3str4,1.547606
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3331.smt2,CVC4,1.5428790000000001
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3476.smt2,CVC4,1.5208030000000001
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4201_sink.smt2,Z3str4,1.454219
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query6380.smt2,CVC4,1.451039
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query10669.smt2,CVC4,1.4450999
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_2979_sink.smt2,Z3str4,1.433611
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3350.smt2,CVC4,1.3587809
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5086_sink.smt2,Z3str4,1.348144
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3164.smt2,CVC4,1.346166
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query3873.smt2,CVC4,1.1943099000000001
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries-no-ree/query8917.smt2,CVC4,1.155718
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_39_sink.smt2,Z3str4,1.127782
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_532_sink.smt2,Z3str4,1.0597771
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_521_sink.smt2,Z3str4,1.047388
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_4118_sink.smt2,Z3str4,1.046667
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1635_sink.smt2,Z3str4,1.0464629
/data/SMT-LIB-non-incremental/QF_S/2020-sygus-qgen/queries/query6387.smt2,CVC4,1.0400499
/data/SMT-LIB-non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1642_sink.smt2,Z3str4,1.037279
