benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UF/NEQ/NEQ023_size7.smt2,Yices (2019),18.634776
/data/SMT-LIB-non-incremental/QF_UF/NEQ/NEQ023_size6.smt2,Yices (2019),7.9014560000000005
/data/SMT-LIB-non-incremental/QF_UF/PEQ/PEQ014_size10.smt2,Yices (2019),5.133200000000002
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/iso_brn_repgen_sk039.smt2,Yices (2019),5.00676
/data/SMT-LIB-non-incremental/QF_UF/PEQ/PEQ013_size8.smt2,Yices,4.0244
/data/SMT-LIB-non-incremental/QF_UF/NEQ/NEQ032_size6.smt2,Yices (2019),3.8865499999999997
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/iso_icl_nogen_sk001.smt2,Yices (2019),1.5584000000000002
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/gensys_brn008.smt2,Yices (2019),1.17808
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_brn_repgen013.smt2,Yices (2019),0.8343309
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/gensys_brn_sk011.smt2,Yices (2019),0.7853490000000001
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_icl_repgen_sk008.smt2,Yices (2019),0.713027
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_icl_nogen003.smt2,Yices (2019),0.5967800000000001
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/iso_icl_nogen_sk002.smt2,Yices (2019),0.5754600000000001
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/gensys_icl009.smt2,Yices (2019),0.57264
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/iso_brn_repgen_sk022.smt2,Yices (2019),0.516872
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/iso_brn_repgen_sk043.smt2,Yices (2019),0.43472199999999994
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_icl_repgen_sk002.smt2,Yices (2019),0.41889000000000004
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/gensys_brn011.smt2,Yices (2019),0.3878729
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_icl_nogen_sk005.smt2,Yices (2019),0.380366
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/gensys_brn_sk028.smt2,Yices (2019),0.374154
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/gensys_brn010.smt2,Yices (2019),0.36806700000000003
/data/SMT-LIB-non-incremental/QF_UF/SEQ/SEQ010_size8.smt2,Yices (2019),0.34754700000000005
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_brn_repgen010.smt2,Yices (2019),0.305384
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/gensys_icl003.smt2,Yices (2019),0.26597000000000004
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_icl_repgen_sk013.smt2,Yices (2019),0.26091800000000004
/data/SMT-LIB-non-incremental/QF_UF/SEQ/SEQ009_size9.smt2,Yices (2019),0.248488
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/gensys_brn003.smt2,Yices (2019),0.22263699999999997
/data/SMT-LIB-non-incremental/QF_UF/PEQ/PEQ019_size7.smt2,Yices (2019),0.215766
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_icl_nogen013.smt2,Yices (2019),0.19804
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_brn_repgen005.smt2,Yices (2019),0.1680309
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/iso_brn_repgen_sk027.smt2,Yices (2019),0.1430609
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg6/iso_brn_repgen017.smt2,Yices,0.12713700000000003
