benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc15.smt2,Z3,2395.5404
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,Z3,2391.64224
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_bmc25.smt2,CVC4,2390.78169
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,MathSAT5,2383.7419
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc20.smt2,Z3,2312.2918
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-nomem.smt2,MathSAT5,2311.1635
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,Z3,2186.287
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc25.smt2,MathSAT5,2071.762
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,Z3,1836.705
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,MathSAT5,1771.578
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,MathSAT5,1758.022
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,Z3,1638.225
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,Yices (2019),1528.2069999999999
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc30.smt2,Yices,1170.1516
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc20.smt2,CVC4,682.4916
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,Yices,213.94899999999998
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_firewire_tree.1.prop3_ab_cti_max.smt2,Z3,134.444246
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-zipmmu-compact-nomem.smt2,MathSAT5,113.94168
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_firewire_tree.1.prop2_ab_reg_max.smt2,Z3,106.74046799999999
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-15-compact-nomem.smt2,MathSAT5,105.4787
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_sokoban.3.prop1_ab_cti_max.smt2,MathSAT5,61.38615
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc15.smt2,Z3,46.5847
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lifts.6.prop1_ab_cti_max.smt2,Z3,33.302224
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_firewire_tree.2.prop2_ab_cti_max.smt2,Z3,32.094783
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-busdelay-compact-nomem.smt2,Z3,28.840450000000004
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_peg_solitaire.3.prop1_ab_cti_max.smt2,Z3,23.37659
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pouring.1.prop1_ab_cti_max.smt2,Bitwuzla,23.158428
/data/SMT-LIB-non-incremental/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pouring.1.prop1_ab_reg_max.smt2,Bitwuzla,22.14123
