benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-16-14-2-4-1-4.smt2,Alt-Ergo,2399.99063112
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_06_05.smt2,Alt-Ergo,2399.99043292
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_07.smt2,Alt-Ergo,2399.989251
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_08.smt2,Alt-Ergo,2399.989185
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-07-3-2-3-1.smt2,Alt-Ergo,2399.988818
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-17-06-5-5-4-1.smt2,Alt-Ergo,2399.988809
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_20_20.smt2,Alt-Ergo,2399.988347
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-12-5-2-1-5.smt2,Alt-Ergo,2399.9877161
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_07.smt2,Alt-Ergo,2399.9871779
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-10-2-5-3-2.smt2,veriT,2399.9869759
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-06-4-1-5-3.smt2,Alt-Ergo,2399.9868891
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-16-13-4-1-4-5.smt2,Alt-Ergo,2399.9868679
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-18-19-4-1-1-5.smt2,Alt-Ergo,2399.986764
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-11-1-4-4-3.smt2,Alt-Ergo,2399.986686
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_31_31.smt2,Alt-Ergo,2399.985622
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_06_16.smt2,Alt-Ergo,2399.984727
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_17.smt2,Alt-Ergo,2399.9842311
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-09-3-2-3-2.smt2,Alt-Ergo,2399.9836421
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-07-3-4-1-2.smt2,Alt-Ergo,2399.983557
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_12.smt2,Alt-Ergo,2399.98037
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_39_59.smt2,Alt-Ergo,2399.9795049
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-15-12-2-2-3-4.smt2,Alt-Ergo,2399.9777901
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-15-14-5-5-5-1.smt2,Alt-Ergo,2399.976012
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_20.smt2,Alt-Ergo,2399.973737
