benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_eq_bvurem0_ltr_inv_g.smt2,Z3,2399.9811531
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_Select:700_values_123.smt2,CVC4,2399.9774829
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvslt_bvadd_ltr_inv_g.smt2,Z3,2399.976572
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsgt_bvmul_rtl.smt2,CVC4,2399.9699421
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_eq_bvurem0_rtl.smt2,MathSAT5,2399.9650321
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:931_values_0.smt2,Yices,2399.956631
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AddSub:1604_values_0.smt2,CVC4 (2019),2399.951016
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvslt_bvashr0_rtl.smt2,CVC4 (2019),2399.948158
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvadd_ltr_inv_g.smt2,CVC4,2399.9415211
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_eq_bvshl0_rtl.smt2,Z3,2399.9393809
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvurem1_ltr_inv_g.smt2,CVC4,2399.9372
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift497b_values_0.smt2,Z3,2399.933661
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift497c_values_0.smt2,CVC4 (2019),2399.9205491
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_eq_bvudiv0_rtl.smt2,Z3,2399.918741
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsgt_bvurem1_rtl.smt2,CVC4 (2019),2399.915351
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvslt_bvlshr0_rtl.smt2,CVC4,2399.891152
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AddSub:1574_values_0.smt2,Yices,2399.661812
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_muldivrem:152_values_0.smt2,CVC4 (2019),2396.09223
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsgt_bvlshr0_rtl.smt2,Yices,210.69071689999998
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_Select:510_values_0.smt2,Z3,54.1768569
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvshl0_ltr_inv_g.smt2,CVC4,35.052159
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_Select:704_values_0.smt2,Z3,6.9143331
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AddSub:1165_values_0.smt2,MathSAT5,3.578515
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvslt_bvshl0_rtl.smt2,CVC4 (2019),1.299144
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:230_values_0.smt2,MathSAT5,0.966093
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsgt_bvashr1_rtl.smt2,Z3,0.8947149
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_Select:727_values_0.smt2,CVC4 (2019),0.7908270000000001
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:298_values_0.smt2,CVC4 (2019),0.614921
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-ic/int_check_bvsge_bvlshr0_ltr_inv_g.smt2,CVC4,0.42011899999999996
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AddSub:1599_values_0.smt2,CVC4,0.2746679
/data/SMT-LIB-non-incremental/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:2443_values_0.smt2,CVC4 (2019),0.1973149
