benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m99.smt2,Yices,2397.7929
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/10u05.04.smt2,Z3,2397.47996
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20u10.09.smt2,Z3,2201.992
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/30u15.14.smt2,Z3,2169.735
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f99.smt2,Yices,1080.14796
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f10.smt2,Yices,828.10093
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f25.smt2,Yices,708.6111
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m10.smt2,Yices,540.3231300000001
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40m.smt2,Yices,511.12677
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m50.smt2,Yices,483.53920000000005
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40f.smt2,Yices,264.8527
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s99.smt2,Yices,251.96669
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s50.smt2,Yices,229.5832
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40s.smt2,Yices,222.97865
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40s.smt2,Yices,208.7774
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m25.smt2,Yices,193.4502
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f50.smt2,Yices,181.1034
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s10.smt2,Yices,93.05413
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/s40.smt2,Yices,25.57515
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s25.smt2,Yices,20.282199999999996
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40f.smt2,Yices,0.246452
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40m.smt2,Z3,0.045365
/data/SMT-LIB-non-incremental/QF_UFNRA/20190906-CLEARSY/0004/00003.smt2,Yices,0.0009518899999999986
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20revert.u.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40u20.19.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.easy.smt2,Z3,0.0
