benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20revert.u.smt2,MathSAT5,1908.335
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40u20.19.smt2,Z3,1270.71
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40s.smt2,MathSAT5,23.15775
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s50.smt2,Z3,14.9514
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40s.smt2,Z3,10.148600000000002
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s25.smt2,Z3,5.146299999999998
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40f.smt2,Z3,0.10207200000000001
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40m.smt2,Z3,0.045365
/data/SMT-LIB-non-incremental/QF_UFNRA/20190906-CLEARSY/0004/00003.smt2,Yices,0.0009518899999999986
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/10u05.04.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f99.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s99.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/s40.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20u10.09.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40f.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40m.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f25.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m25.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.easy.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m99.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/30u15.14.smt2,Yices,0.0
