benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal9.smt2,UE+MathSAT,2399.9723271
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/hipspec/sg/nichomachus-goal2.smt2,UE+MathSAT,2399.9718929
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal54.smt2,UE+MathSAT,2399.9708941
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/goal51.smt2,UE+MathSAT,2399.9700821
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal35.smt2,Alt-Ergo,2399.9386309
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/goal55.smt2,UE+MathSAT,2399.933342
/data/SMT-LIB-non-incremental/UFDTLIA/2019-Gleiss/sensitivity/11-sens-equal-k-twice.spec.smt2,Alt-Ergo,2399.898658
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/sg/goal-sg33.smt2,Alt-Ergo,2399.846512
/data/SMT-LIB-non-incremental/UFDTLIA/2019-Gleiss/sensitivity/2-sens-equal-sums-two-arrays.spec.smt2,UE+MathSAT,2399.758343
/data/SMT-LIB-non-incremental/UFDTLIA/2019-Gleiss/sensitivity/9-sens-explicit-swap-prop2.spec.smt2,CVC4 (2019),2394.30983
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal27.smt2,UE+MathSAT,2380.9099
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/goal53.smt2,Alt-Ergo,2380.9082
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal36.smt2,UE+MathSAT,2380.8911
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/hipspec/rotate-goal2.smt2,Alt-Ergo,2380.8846
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/goal3.smt2,UE+MathSAT,2380.8817
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/sg/goal-sg3.smt2,Alt-Ergo,2380.881
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/sg/goal-sg10.smt2,Alt-Ergo,2380.8797
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal77.smt2,Alt-Ergo,2380.8765
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/goal60.smt2,Alt-Ergo,2380.8743
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/sg/goal-sg50.smt2,Alt-Ergo,2380.8734
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/clam/sg/goal-sg28.smt2,UE+MathSAT,2380.8595
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/leon/heap-goal2.smt2,Alt-Ergo,2380.8392
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/isaplanner/goal65.smt2,Alt-Ergo,2380.8289
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/leon/amortize-queue-goal9.smt2,Alt-Ergo,2380.8169
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/leon/bsearch-tree-goal14.smt2,UE+MathSAT,2380.8161
/data/SMT-LIB-non-incremental/UFDTLIA/20172804-Barrett/induction-vmcai2015/leon/amortize-queue-goal1.smt2,Alt-Ergo,2380.8151
