benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/TU__refined_post_illegal__refined_post_illegal_2.adb_26_27_refined_post___00.smt2,UE+MathSAT,2399.9771081
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_169_17_overflow_check___00.smt2,UE+MathSAT,2399.9754831
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_47_14_postcondition___00.smt2,UE+MathSAT,2399.9751191
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_lemmas__test_arith.adb_25_14_postcondition___00.smt2,UE+MathSAT,2399.974534
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_118_16_overflow_check___00.smt2,UE+MathSAT,2399.9737811
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/O512-022__power_and_sum__power_and_sum.adb_26_17_range_check___00.smt2,UE+MathSAT,2399.9737539
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_85_17_overflow_check___00.smt2,UE+MathSAT,2399.9736571
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_67_17_overflow_check___00.smt2,UE+MathSAT,2399.972537
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_100_16_overflow_check___00.smt2,UE+MathSAT,2399.9725221
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/S329-030__bound_exponentiation__signed.adb_10_22_assert___00.smt2,UE+MathSAT,2399.9724641
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/gcd__math_euclid.adb_44_13_precondition3___00.smt2,UE+MathSAT,2399.9723029
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/S329-030__bound_exponentiation__signed.adb_10_24_overflow_check___00.smt2,UE+MathSAT,2399.9711871
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_151_20_overflow_check___00.smt2,UE+MathSAT,2399.9710031
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/K315-020__nested__nested.ads_4_20_postcondition___00.smt2,UE+MathSAT,2399.9705219
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/riposte__arithmetic__arithmetic.adb_244_19_postcondition___00.smt2,UE+MathSAT,2399.9698941
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_82_14_postcondition___00.smt2,UE+MathSAT,2399.9691411
