benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/MB01-007__floating_point__foo.adb_12_4_precondition___00.smt2,UE+MathSAT,2399.983245
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/P315-010__float__sample.ads_13_140_division_check___00.smt2,UE+MathSAT,2399.9823069
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero_numerics__numerics.ads_13_100_postcondition___00.smt2,UE+MathSAT,2399.9820299
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ec718c_generic_float_tests-T-defqtvc__00.smt2,UE+MathSAT,2399.981997
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/K720-019__floats__pack.adb_10_52_precondition___00.smt2,UE+MathSAT,2399.981779
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_0fa4d6_generic_float_tests-T-defqtvc__00.smt2,UE+MathSAT,2399.981769
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/O810-001__predicate__safety_pack.ads_63_10_predicate_check___00.smt2,UE+MathSAT,2399.981743
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/N116-016__floating_point__precise.adb_7_19_assert___00.smt2,UE+MathSAT,2399.981668
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__abs_controller_oem_with_property.adb_33_22_assert___00.smt2,UE+MathSAT,2399.981502
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/K720-019__floats__pack.adb_10_42_precondition___00.smt2,UE+MathSAT,2399.981484
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_275c6e_generic_float_tests-T-defqtvc__00.smt2,UE+MathSAT,2399.98138
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/OB04-007__float_conversion__floatround.adb_7_47_predicate_check___00.smt2,UE+MathSAT,2399.9812949
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/PC05-013__interval_overflow__mult.adb_11_35_overflow_check___00.smt2,UE+MathSAT,2399.981247
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_577336_generic_float_tests-T-defqtvc__00.smt2,UE+MathSAT,2399.9811071
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/M603-018__float__testfloat.adb_23_22_assert___00.smt2,UE+MathSAT,2399.9810899
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_6fdf6d_generic_float_tests-T-defqtvc__00.smt2,UE+MathSAT,2399.980968
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/PA21-002__floatdiv__basic_contracts.ads_22_20_postcondition___00.smt2,UE+MathSAT,2399.980474
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/O715-033__level2__hard_stuff.adb_20_52_division_check___00.smt2,UE+MathSAT,2399.9803349
/data/SMT-LIB-non-incremental/UFFPDTLIRA/20200306-Kanig/spark2014bench/O429-046__flow_tasking_contracts__watchdog.ads_6_9_ceiling__priority_protocol___00.smt2,UE+MathSAT,2399.9803051
