benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.821212.smt2,SMTInterpol,2399.9856771
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.577630.smt2,SMTInterpol,2399.9837919
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.734483.smt2,CVC4,2399.975371
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.859068.smt2,SMTInterpol,2399.9614481
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.926835.smt2,veriT+vite,2399.9532301
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.786396.smt2,Alt-Ergo,2399.950317
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.593629.smt2,Vampire,2399.9501289
/data/SMT-LIB-non-incremental/UFLIA/boogie/Quantifiers_Q-noinfer.smt2,veriT+vite,2399.9450149
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.737188.smt2,veriT+vite,2399.9442341
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.907452.smt2,veriT+vite,2399.935852
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.883192.smt2,Vampire,2399.934159
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/StrongNorm/smtlib.864254.smt2,Z3,2399.9295519
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/StrongNorm/smtlib.703869.smt2,SMTInterpol,2399.921614
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.714826.smt2,Z3,2399.9178449
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.926730.smt2,veriT+vite,2399.9173951
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.602493.smt2,SMTInterpol,2399.912146
/data/SMT-LIB-non-incremental/UFLIA/boogie/StructTests_St.S_System.Int32.ptr_System.Int32.ptr-level_2.smt2,Alt-Ergo,2399.902391
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.858180.smt2,veriT+vite,2399.896097
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TypeSafe/smtlib.1006872.smt2,Z3,2399.843131
/data/SMT-LIB-non-incremental/UFLIA/boogie/StrictReadOnly_C1.W0.smt2,Z3,2399.841566
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.894255.smt2,Alt-Ergo,2399.834199
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.780544.smt2,veriT,2399.833942
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.864403.smt2,Alt-Ergo,2399.831337
/data/SMT-LIB-non-incremental/UFLIA/sexpr/SES.Nary.FA_SES.Sx_notnull.smt2,veriT,2399.821974
