benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec3_product11.cil_smt-query.0.smt2,Boolector-ReasonLS,4800.0025599
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/terminator_03-1_smt-query.0.smt2,Boolector-ReasonLS,4800.00159595
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/variable-binding-scope_false-unreach-label.c.files_smt-query.0.smt2,Boolector-ReasonLS,4800.00158794
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec3_product28.cil_smt-query.0.smt2,Boolector-ReasonLS,4800.0014041
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/terminator_02-1_smt-query.0.smt2,Boolector-ReasonLS,4800.0010661
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/malloc_compare_true-unreach-label.i.files_smt-query.0.smt2,Boolector-ReasonLS,4800.00070098
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec3_product05.cil_smt-query.0.smt2,Boolector-ReasonLS,4800.000089020001
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec2_product24.cil_smt-query.0.smt2,Boolector-ReasonLS,4799.9999130999995
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/simple_2-2_smt-query.0.smt2,Boolector-ReasonLS,4799.9998502
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/trex01-1_smt-query.0.smt2,Boolector-ReasonLS,4799.99965101
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec1_product13.cil_smt-query.0.smt2,Boolector-ReasonLS,4799.99963685
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/float_lib1_smt-query.0.smt2,Boolector-ReasonLS,4799.9995919
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec4_product07.cil_smt-query.0.smt2,Boolector-ReasonLS,4799.99916014
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec2_product29.cil_smt-query.0.smt2,Boolector-ReasonLS,4799.99877302
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec3_product63.cil_smt-query.0.smt2,Boolector-ReasonLS,4799.995508
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.2.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,Boolector-ReasonLS,4799.90042092
/data/SMT-LIB-incremental/QF_BV/2019-Wolf-fmbench/2019B/marlann_compute_cp_fail2_QF_BV.smt2,Boolector-ReasonLS,4799.8913589
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/modulus_true-unreach-call_true-no-overflow.i.smt2,Boolector-ReasonLS,4795.095442100001
/data/SMT-LIB-incremental/QF_BV/20170501-Heizmann-UltimateAutomizer/parity_true-unreach-call_true-no-overflow.i.smt2,STP-mt,4775.041412661676
/data/SMT-LIB-incremental/QF_BV/2019-Mann/digital-estimation-convergence-inc_fwd_prove_ind.smt2,STP-mt,4613.045965484615
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/toy-bug-2.c.kratos.bv64.bmc_k100.smt2,Boolector-ReasonLS,4137.874586
/data/SMT-LIB-incremental/QF_BV/kratos_systemC_swmc/toy-bug-1.c.kratos.bv64.bmc_k100.smt2,STP-mt,3800.7981370990096
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_telephony.5.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2402.4727230000003
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_telephony.1.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2401.330282
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_fischer.6.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2401.238472
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_krebs.3.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2401.23634
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_anderson.1.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2401.0894149
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_gear.2.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.925616
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_iprotocol.3.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.7606011000003
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_needham.1.prop4_cc_ref_max.smt2,Boolector-ReasonLS,2400.746455
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_needham.3.prop4_cc_ref_max.smt2,Boolector-ReasonLS,2400.733482
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_iprotocol.4.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.6429911
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_fischer.4.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.595563
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_firewire_tree.1.prop3_cc_ref_max.smt2,Boolector-ReasonLS,2400.523373
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_cambridge.3.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.510628
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_krebs.2.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.496365
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_anderson.3.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.484579
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c.v+nlh-reducer_smt-query.0.smt2,STP-mt,2400.330392
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_leader_election.2.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.281087
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_brp2.6.prop3_cc_ref_max.smt2,Boolector-ReasonLS,2400.2588731
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_elevator_planning.3.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.2376021
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_at.3.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.2218989
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_opt-floodmax.4.2.ufo.BOUNDED-8.pals.c.v+lhb-reducer_smt-query.0.smt2,STP-mt,2400.1742360000003
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_peterson.4.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.1344559
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_fischer.4.prop1_cc_ref_max.smt2,Boolector-ReasonLS,2400.1154621
