benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_20_true-unreach-call.c.smt2,Z3,493.47200000000004
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product22_false-unreach-call.cil.c.smt2,Z3,299.741
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product26_false-unreach-call.cil.c.smt2,Z3,290.587
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product28_false-unreach-call.cil.c.smt2,Z3,240.21299999999997
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product18_false-unreach-call.cil.c.smt2,Z3,217.50500000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pc_sfifo_2_true-unreach-call_false-termination.cil.c.smt2,Z3,216.47199999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_10_false-unreach-call.c.smt2,Z3,209.152
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.eureka_05_true-unreach-call.i.smt2,Z3,192.6019
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pipeline_true-unreach-call_false-termination.cil.c.smt2,Z3,176.50400000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product30_false-unreach-call.cil.c.smt2,Z3,154.53199999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.mem_slave_tlm.5_true-unreach-call_false-termination.cil.c.smt2,Z3,111.90299999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_20_false-unreach-call.c.smt2,Z3,104.90129999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_30_true-unreach-call.c.smt2,Z3,102.91029999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec2_product20_false-unreach-call.cil.c.smt2,Z3,86.69200000000004
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.eureka_01_true-unreach-call.i.smt2,Z3,65.1239
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.toy_true-unreach-call_false-termination.cil.c.smt2,Z3,53.8592
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.32_7a_cilled_true-unreach-call_linux-3.8-rc1-32_7a-drivers--staging--rtl8192e--rtl8192e--r8192e_pci.ko-ldv_main7_sequence_infinite_withcheck_stateful.cil.out.c.smt2,Z3,49.95987
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7a_cilled_true-unreach-call_linux-3.8-rc1-drivers--gpu--drm--ast--ast.ko-main.cil.out.c.smt2,Z3,49.158100000000005
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_Triplicated_false-unreach-call.2.ufo.UNBOUNDED.pals.c.smt2,Z3,48.0121
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product30_false-unreach-call.cil.c.smt2,Z3,45.409
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_40_false-unreach-call.c.smt2,Z3,43.2186
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem05_30_false-unreach-call.c.smt2,Z3,38.528000000000006
