benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.eureka_05_true-unreach-call.i.smt2,CVC4,3470.9478677419356
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_opt-floodmax.5_true-unreach-call.ufo.BOUNDED-10.pals.c.smt2,SMTInterpol,2882.9445333333333
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.mem_slave_tlm.5_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,2538.634
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.mem_slave_tlm.4_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,2124.9626666666663
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekh_ctm_false-unreach-call.2.c.smt2,CVC4,1651.0085000000001
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem04_40_false-unreach-call.c.smt2,SMTInterpol,1437.7053
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.m0_false-unreach-call_drivers-scsi-gdth-ko--111_1a--5934df9-1.c.smt2,CVC4,1230.2716
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product26_false-unreach-call.cil.c.smt2,CVC4,962.3589999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.11_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,822.194
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product30_false-unreach-call.cil.c.smt2,CVC4,615.719
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem06_00_false-unreach-call.c.smt2,SMTInterpol,571.8000999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.insertion_sort_true-unreach-call.i.smt2,CVC4,559.4680999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_20_true-unreach-call.c.smt2,Z3 (2018),421.02000000000004
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.token_ring.12_false-unreach-call_false-termination.cil.c.smt2,CVC4,420.044
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.kundu_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,379.46579999999994
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pipeline_true-unreach-call_false-termination.cil.c.smt2,Z3 (2018),342.42100000000005
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem06_40_true-unreach-call.c.smt2,SMTInterpol,316.2367
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem06_10_false-unreach-call.c.smt2,SMTInterpol,293.3236
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec9_product28_false-unreach-call.cil.c.smt2,Z3 (2018),233.22699999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.mem_slave_tlm.4_true-unreach-call_false-termination.cil.c.smt2,CVC4,229.036
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product30_false-unreach-call.cil.c.smt2,CVC4,225.88840000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product18_false-unreach-call.cil.c.smt2,Z3,217.50500000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pc_sfifo_2_true-unreach-call_false-termination.cil.c.smt2,Z3,216.47199999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_10_false-unreach-call.c.smt2,Z3,209.152
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem05_10_true-unreach-call.c.smt2,SMTInterpol,192.9595
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_ActiveStandby_true-unreach-call.ufo.BOUNDED-10.pals.c.smt2,SMTInterpol,186.31199999999995
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--video--backlight--l4f00242t03.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SMTInterpol,171.68689999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.token_ring.10_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,171.4909
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.pipeline_true-unreach-call_false-termination.cil.c.smt2,SMTInterpol,167.41989999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.usb_urb-drivers-input-misc-keyspan_remote.ko_false-unreach-call.cil.out.i.pp.i.smt2,CVC4,148.19075
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_lcr.8_false-unreach-call.1.ufo.UNBOUNDED.pals.c.smt2,CVC4,134.16760000000002
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem08_30_true-unreach-call.c.smt2,Z3 (2018),105.5733
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.transmitter.09_false-unreach-call_false-termination.cil.c.smt2,CVC4,99.36352
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_20_false-unreach-call.c.smt2,Z3 (2018),95.80330000000001
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.eureka_01_true-unreach-call.i.smt2,Z3 (2018),66.8403
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_floodmax.5_false-unreach-call.1.ufo.UNBOUNDED.pals.c.smt2,SMTInterpol,65.16839999999999
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_Triplicated_false-unreach-call.2.ufo.UNBOUNDED.pals.c.smt2,Z3 (2018),64.8777
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7a_cilled_true-unreach-call_linux-3.8-rc1-32_7a-drivers--message--fusion--mptsas.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SMTInterpol,64.12678
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.elevator_spec1_product24_false-unreach-call.cil.c.smt2,CVC4,53.50152
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.pals_STARTPALS_ActiveStandby_false-unreach-call.5.ufo.BOUNDED-10.pals.c.smt2,CVC4,43.42857
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--media--dvb--frontends--it913x-fe.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SMTInterpol,43.2574
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_opt-floodmax.5_false-unreach-call.3.ufo.BOUNDED-10.pals.c.smt2,SMTInterpol,38.3153
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem05_00_false-unreach-call.c.smt2,CVC4,36.3347
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_opt-floodmax.4_false-unreach-call.1.ufo.UNBOUNDED.pals.c.smt2,CVC4,35.38207
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem06_30_true-unreach-call.c.smt2,CVC4,34.46219
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.ludcmp_false-unreach-call.i.smt2,Z3 (2018),33.52917
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_STARTPALS_Triplicated_true-unreach-call.ufo.UNBOUNDED.pals.c.smt2,Z3 (2018),32.0248
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem05_30_false-unreach-call.c.smt2,Z3 (2018),30.741899999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.eureka_01_false-unreach-call.i.smt2,CVC4,30.326529999999998
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec0_product35_false-unreach-call.cil.c.smt2,CVC4,29.931180000000005
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.pals_floodmax.4_false-unreach-call.4.ufo.UNBOUNDED.pals.c.smt2,CVC4,28.55294
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.minepump_spec5_productSimulator_true-unreach-call.cil.c.smt2,CVC4,27.4837
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7_cilled_false-unreach-call_const_ok_linux-32_1-drivers--media--video--vivi.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2,SMTInterpol,25.565050000000003
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.Problem16_30_false-unreach-call.c.smt2,Z3,25.34177
/data/SMT-LIB-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7a_cilled_true-unreach-call_linux-3.8-rc1-drivers--hwmon--w83792d.ko-main.cil.out.c.smt2,SMTInterpol,24.2108
