benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2882119541282698074.smt2,UE+Yices,4799.9880489
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1394993758283595857.smt2,Alt-Ergo,4799.986809
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3946637270023721216.smt2,Z3,4799.9823311
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3961521014783443477.smt2,Z3,4799.9720109
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7998238949996258771.smt2,Z3,4799.9698441
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1421512540585826525.smt2,UE+MathSAT,4799.9623119
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1017858106993522530.smt2,CVC4-SymBreak,4799.9620309
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3079651278844133451.smt2,Vampire,4799.961525
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2019974996567731041.smt2,SMTInterpol,4799.9613009
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4243065834464963026.smt2,CVC4-SymBreak,4799.9600849
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt891141399705473692.smt2,CVC4 (2018),4799.9587671
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5227581841912856618.smt2,veriT,4799.958482
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2978868775339750019.smt2,CVC4 (2018),4799.957849
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2961156475236994864.smt2,Alt-Ergo,4799.956728
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt385682537143830981.smt2,SMTInterpol,4799.948046
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1978062312590062706.smt2,Alt-Ergo,4799.879649
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6732530778122314224.smt2,CVC4-SymBreak,4799.818242
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2177804891820071576.smt2,Alt-Ergo,4799.795169
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7600953812457893043.smt2,CVC4,4799.744153
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt395210415213723825.smt2,Alt-Ergo,4799.740025
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7830956978053789405.smt2,CVC4-SymBreak,4799.732699
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4082582046196824546.smt2,Alt-Ergo,4799.417077
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3887518033817242238.smt2,veriT,4799.285265
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6897394740377480780.smt2,CVC4 (2018),4799.103343
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1385146095240948828.smt2,Alt-Ergo,4798.61637
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5261717775071920801.smt2,SMTInterpol,4797.97784
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4990194403611057301.smt2,CVC4,4796.92666
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt50831515422421341.smt2,Alt-Ergo,4794.88002
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8561012630803604183.smt2,veriT,4791.93782
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7810685715451945039.smt2,Vampire,4790.21134
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt575695382146512568.smt2,Vampire,4776.4563
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt9141154473068269217.smt2,CVC4 (2018),4775.0098
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5662206641645768581.smt2,veriT,4747.4685
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3775713235031917370.smt2,CVC4 (2018),4734.2242
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5068992967793141333.smt2,veriT,4665.892
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt912431621627473907.smt2,CVC4-SymBreak,4596.978
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7854099899970218353.smt2,Alt-Ergo,4593.966
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4991165865501606408.smt2,veriT,4590.207
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8273842037110083049.smt2,CVC4-SymBreak,4566.906
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt290820108209945388.smt2,veriT,4552.446
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6744987552257189933.smt2,Alt-Ergo,4464.56
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4809543988069777244.smt2,CVC4,4411.03
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7754849270211997777.smt2,Vampire,4318.387
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1783163497306728397.smt2,Vampire,4298.026
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2220992957640938153.smt2,Vampire,4228.509
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2838391651139478790.smt2,Vampire,4127.3060000000005
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1277732265078811369.smt2,Alt-Ergo,4034.59
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4164342821240610005.smt2,CVC4-SymBreak,3681.19
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5985719906973356009.smt2,Alt-Ergo,3675.84
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6664083169973822731.smt2,Vampire,3615.1400000000003
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1450100185779015749.smt2,Alt-Ergo,3442.38
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4946071283245544680.smt2,CVC4 (2018),3277.75
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8247282683510099322.smt2,Alt-Ergo,2118.8294
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8873714405967087274.smt2,Vampire,1809.2812000000001
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7296636666252221598.smt2,CVC4-SymBreak,1733.2302
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt393823016087920149.smt2,CVC4,1035.6980999999998
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6490600079681831057.smt2,CVC4 (2018),943.8947869
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6110898355472151499.smt2,CVC4-SymBreak,925.011151
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4392115129312913193.smt2,CVC4-SymBreak,922.577517
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4935376526898913349.smt2,CVC4-SymBreak,703.180626
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5056479549099244900.smt2,CVC4 (2018),483.356202
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6127954382184525833.smt2,CVC4-SymBreak,458.763128
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8199006577912650685.smt2,CVC4 (2018),454.4382199
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2539563675646321481.smt2,CVC4,396.0513691
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7636605259782707935.smt2,CVC4 (2018),394.5292121
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5244257524121257586.smt2,Vampire,199.012225
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3926937364471465169.smt2,Alt-Ergo,159.7503
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8436420869585491305.smt2,Z3,155.1318
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7430161103589433024.smt2,Z3,140.3382471
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7298304319217017721.smt2,CVC4 (2018),125.418309
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt883379979344578514.smt2,CVC4 (2018),91.3069909
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3911699271217407383.smt2,CVC4 (2018),90.333214
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt52419624954718740.smt2,CVC4,83.326976
