benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_inuse_0005.fof.smt2,UE+MathSAT,4799.9744949
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_inuse_0002.fof.smt2,UE+SMTInterpol,4799.9741589
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_inuse_0001.fof.smt2,UE+Yices,4799.9739779
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0191.fof.smt2,UE+MathSAT,4799.973847
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_inuse_0094.fof.smt2,UE+Yices,4799.973589
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_forall/quaternion_ds1_inuse_0005.fof.smt2,UE+Yices,4799.9733559
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_inuse_0100.fof.smt2,UE+SMTInterpol,4799.973331
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/quaternion_ds1_inuse_0016.fof.smt2,UE+SMTInterpol,4799.973309
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_init_0368.fof.smt2,UE+SMTInterpol,4799.973282
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_init_0367.fof.smt2,UE+MathSAT,4799.9731071
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1364.fof.smt2,UE+SMTInterpol,4799.9730311
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0027.fof.smt2,UE+MathSAT,4799.972937
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_inuse_0018.fof.smt2,UE+MathSAT,4799.972807
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_inuse_0111.fof.smt2,UE+SMTInterpol,4799.972713
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_inuse_0022.fof.smt2,UE+SMTInterpol,4799.9726311
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0017.fof.smt2,SMTInterpol,4799.972621
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0133.fof.smt2,UE+Yices,4799.9726071
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_inuse_0103.fof.smt2,SMTInterpol,4799.9724709
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0412.fof.smt2,UE+Yices,4799.9724069
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0120.fof.smt2,UE+MathSAT,4799.9723879
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1449.fof.smt2,UE+SMTInterpol,4799.9723839
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/cl5_nebula_init_0021.fof.smt2,veriT,4799.9723811
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0054.fof.smt2,SMTInterpol,4799.9723761
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0110.fof.smt2,UE+Yices,4799.9723689
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify/gauss_init_0308.fof.smt2,UE+MathSAT,4799.972332
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/cl5_nebula_init_0055.fof.smt2,UE+Yices,4799.972251
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1417.fof.smt2,SMTInterpol,4799.9722381
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0013.fof.smt2,SMTInterpol,4799.9722371
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0119.fof.smt2,UE+MathSAT,4799.9722259
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/gauss_init_0078.fof.smt2,SMTInterpol,4799.972225
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0219.fof.smt2,UE+SMTInterpol,4799.9721969
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_norm_0147.fof.smt2,UE+MathSAT,4799.972173
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0263.fof.smt2,SMTInterpol,4799.9721519
