benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_array/quaternion_ds1_symm_0423.fof.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.845575.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.810979.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.750318.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.938815.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.755420.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.940633.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0031.fof.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.835099.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.682065.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.677614.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.943691.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.918064.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.682948.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.746656.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.662227.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0036.fof.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.944599.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.755062.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.767299.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.877685.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_structure_prop/cl5_nebula_norm_0018.fof.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.872800.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.854640.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.918728.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_array_only/cl5_nebula_norm_0008.fof.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.667166.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.692734.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.835930.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.635849.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.666124.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.663869.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.767580.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.876764.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.695009.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.696888.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.644770.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.831856.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.950199.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_symm_0017.fof.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.805315.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.659996.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.697961.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.750959.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.661907.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.714299.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.778229.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.933657.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_array/cl5_nebula_norm_0008.fof.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.794968.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.943708.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_structure_prop/thruster_symm_0031.fof.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.825916.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.869659.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.784327.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.873870.smt2,Alt-Ergo,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.800411.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/aviation/extern_why.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0005.fof.smt2,CVC4 (2018),0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.661781.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.788836.smt2,Alt-Ergo,0.0
