benchmark,prediction,loss
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_ne_bvlshr1_64bit.smt2,Q3B,4799.9524581
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/sum02_false-unreach-call_true-no-overflow.c_415.smt2,CVC4,4799.9494881
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_3_7.smt2,CVC4 (2018),4799.939031
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/ETCS-essentials-live2.proof-node640.smt2,CVC4,4799.9330611
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,UE+MathSAT,4799.909166
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvuge_bvmul_32bit.smt2,CVC4,4799.888242
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsgt_bvmul_32bit.smt2,CVC4 (2018),4799.885612
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvugt_bvurem0_64bit.smt2,Boolector,4799.878914
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/binary_driver-2007-10-09-node14896.smt2,Q3B,4799.872876
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/jain_2_true-unreach-call_true-no-overflow.i_236.smt2,Z3,4799.781542
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/jain_4_true-unreach-call_true-no-overflow.i_58.smt2,Z3,4799.738669
/data/SMT-LIB-non-incremental/BV/2017-Preiner-UltimateAutomizer/Primes_true-unreach-call.c_1657.smt2,CVC4,4799.731451
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvslt_bvmul_64bit.smt2,Poolector,4799.510763
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/sum02_true-unreach-call_true-no-overflow.i_417.smt2,Q3B,4799.377057
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/AVStream_hwsim.cpp.smt2,Z3,4799.325633
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/jain_4_true-unreach-call_true-no-overflow.i_233.smt2,Z3,4798.98204
/data/SMT-LIB-non-incremental/BV/20170501-Heizmann-UltimateAutomizer/verisec_sendmail__tTflag_arr_one_loop_false-unreach-call.i_2406.smt2,Q3B,4798.63376
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_6_21.smt2,Q3B,4796.78942
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/vsl.proof-node1377.smt2,Boolector,4792.77463
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_24.smt2,Z3,4787.6299
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_6_30.smt2,Q3B,4774.2186
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,Poolector,4773.5171
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,Z3,4771.7059
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_52.smt2,Q3B,4758.0606
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_12.smt2,Poolector,4652.656
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_30.smt2,Z3,4631.664
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,Q3B,4617.765
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_6.smt2,Z3,4521.093
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_6_11.smt2,CVC4 (2018),4139.875
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/fixpoint/sdlx-fixpoint-8.smt2,Q3B,3833.635
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_3_24.smt2,Q3B,3776.92
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_60.smt2,Q3B,3450.87
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_49.smt2,Z3,3043.4
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsge_bvudiv0_32bit.smt2,Q3B,2676.37
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/AVStream_image.cpp.smt2,CVC4,1736.3101981
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_11.smt2,Poolector,1723.049075
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_22.smt2,Poolector,1021.279781
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,CVC4 (2018),628.6552099999999
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_3_11.smt2,CVC4 (2018),620.534377
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,Boolector,566.0152609
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsle_bvmul_64bit.smt2,CVC4 (2018),556.181924
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_1.smt2,CVC4 (2018),546.495659
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_6_20.smt2,Poolector,510.56232000000006
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_8.smt2,Poolector,485.73669099999995
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvugt_bvurem0_32bit.smt2,Boolector,384.2412521
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/1394diag_ioctl.c.smt2,Q3B,268.39599999999996
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_extsta_st_misc.c.smt2,Q3B,128.45235
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvsge_bvudiv1_64bit.smt2,CVC4,103.9595589
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvslt_bvurem1_32bit.smt2,Boolector,88.248808
/data/SMT-LIB-non-incremental/BV/2017-Preiner-keymaera/dccs-example-simple-node6245.smt2,Z3,63.669889999999995
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,Q3B,62.087058
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/audio_ac97_wavepcistream3.cpp.smt2,Q3B,61.9313651
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/network_usbnwifi_mp_util.c.smt2,Z3,52.80187
