benchmark,prediction,loss
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_005.smt2,Vampire,4799.9846581
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir5/formula_141.smt2,Vampire,4799.984629
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_237.smt2,Vampire,4799.984561
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_202.smt2,Vampire,4799.9845241
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_178.smt2,SMTInterpol,4799.9845159
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_287.smt2,Vampire,4799.9844921
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_219.smt2,SMTInterpol,4799.9844829
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_237.smt2,SMTInterpol,4799.984368
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_287.smt2,Vampire,4799.9843331
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_006.smt2,SMTInterpol,4799.9842509
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_287.smt2,SMTInterpol,4799.98424
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_141.smt2,Vampire,4799.9841709
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_079.smt2,Vampire,4799.9841469
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_068.smt2,SMTInterpol,4799.9841151
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_055.smt2,SMTInterpol,4799.98395
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_282.smt2,Vampire,4799.983873
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_243.smt2,SMTInterpol,4799.9836939
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RND/RND_4_8.smt2,SMTInterpol,4799.9822671
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_172.smt2,SMTInterpol,4799.9819941
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RND/RND_4_10.smt2,Vampire,4799.98133
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RNDPRE/RNDPRE_3_23.smt2,Vampire,4799.981259
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir5/formula_276.smt2,SMTInterpol,4799.9812579
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RND/RND_3_20.smt2,SMTInterpol,4799.980897
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_060.smt2,Vampire,4799.9807051
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_181.smt2,SMTInterpol,4799.980404
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_216.smt2,SMTInterpol,4799.980312
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_192.smt2,SMTInterpol,4799.980076
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_171.smt2,Vampire,4799.980027
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_296.smt2,SMTInterpol,4799.97996
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_065.smt2,Vampire,4799.9792591
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_4.smt2,Vampire,4799.979253
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_13.smt2,Vampire,4799.9792251
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RNDPRE/RNDPRE_3_19.smt2,SMTInterpol,4799.979071
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RND/RND_3_2.smt2,Vampire,4799.9789849
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_7.smt2,UE+Yices,4799.978709
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_206.smt2,Vampire,4799.978699
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_258.smt2,SMTInterpol,4799.9786411
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_27.smt2,SMTInterpol,4799.9786299
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_6.smt2,UE+Yices,4799.978582
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_17.smt2,SMTInterpol,4799.9785361
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir5/formula_060.smt2,Vampire,4799.978351
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_128.smt2,UE+MathSAT,4799.978272
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_126.smt2,UE+Yices,4799.9782
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_233.smt2,Vampire,4799.977948
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_167.smt2,SMTInterpol,4799.9777541
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_130.smt2,Vampire,4799.977713
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_253.smt2,UE+SMTInterpol,4799.9775931
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_234.smt2,UE+Yices,4799.977583
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_190.smt2,UE+MathSAT,4799.9773559
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RNDPRE/RNDPRE_4_12.smt2,UE+SMTInterpol,4799.9773189
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RND/RND_4_13.smt2,SMTInterpol,4799.9772141
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_019.smt2,Vampire,4799.9771509
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_099.smt2,SMTInterpol,4799.976953
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,Vampire,4799.976901
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_210.smt2,SMTInterpol,4799.9767739
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_097.smt2,SMTInterpol,4799.976632
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_161.smt2,SMTInterpol,4799.9766039
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_044.smt2,UE+Yices,4799.976119
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_144.smt2,SMTInterpol,4799.9759761
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_197.smt2,UE+MathSAT,4799.975797
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_38.smt2,SMTInterpol,4799.9757251
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir5/formula_236.smt2,SMTInterpol,4799.9757081
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir3/formula_205.smt2,UE+Yices,4799.9756829
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_017.smt2,SMTInterpol,4799.975678
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_292.smt2,Vampire,4799.9756739
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir5/formula_039.smt2,UE+SMTInterpol,4799.9755499
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_63.smt2,UE+Yices,4799.9750949
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir5/formula_066.smt2,SMTInterpol,4799.974958
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_32.smt2,SMTInterpol,4799.9748651
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_39.smt2,Vampire,4799.9747771
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_179.smt2,Vampire,4799.9741729
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_149.smt2,Vampire,4799.9740339
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/model/model_6_46.smt2,SMTInterpol,4799.9738011
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_274.smt2,Vampire,4799.9737151
