benchmark,prediction,loss
/data/SMT-LIB-non-incremental/NRA/keymaera/FTRM-entry-tang-feasible-node1796.smt2,Vampire,4799.980981
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli-alert.proof-node2416.smt2,Z3 (2018),4799.9751441
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node54870.smt2,Z3,4799.9727551
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli.proof-node2282.smt2,Z3 (2018),4799.972241
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,Vampire,4799.9637219
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,Vampire,4799.9635751
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-node1346.smt2,Vampire,4799.9609439
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-d-braking-node1346.smt2,Vampire,4799.960823
/data/SMT-LIB-non-incremental/NRA/keymaera/to_right-node1083.smt2,Vampire,4799.9606619
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed.proof-node770.smt2,Vampire,4799.9593851
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed-node4537.smt2,Vampire,4799.95928
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,Vampire,4799.9591211
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node1046.smt2,Vampire,4799.94849
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli.proof-node2308.smt2,Z3 (2018),4799.9152499
/data/SMT-LIB-non-incremental/NRA/keymaera/train_goal6-node8607.smt2,Z3,4798.01913
/data/SMT-LIB-non-incremental/NRA/keymaera/train_goal3-node5717.smt2,Z3 (2018),4797.2922
/data/SMT-LIB-non-incremental/NRA/keymaera/safety-lemma-node9082.smt2,Z3 (2018),4796.20267
/data/SMT-LIB-non-incremental/NRA/keymaera/vsl.proof-node2228.smt2,Z3 (2018),4722.7403
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node8745.smt2,Z3,1520.524016
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node43393.smt2,Vampire,33.7300889
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node3896.smt2,Vampire,13.508826899999999
