benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/assoc_mult.smt2,COLIBRI,4799.601286
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/e3_2.c.smt2,COLIBRI,4799.042778
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/e3_1.c.smt2,COLIBRI,4798.88512
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/average_6.smt2,COLIBRI,4798.86485
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.20.smt2,COLIBRI,4793.36428
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.25.smt2,COLIBRI,4789.2945
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v3_r8_vr10_c1_s18214.smt2,COLIBRI,4788.7128
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr5_c1_s14675.smt2,COLIBRI,4787.8946
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s24535.smt2,COLIBRI,4785.8679
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/average_4.smt2,COLIBRI,4777.7679
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/guarded_div_3.smt2,COLIBRI,4768.2815
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r5_vr5_c1_s24018.smt2,COLIBRI,4766.3907
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s10625.smt2,COLIBRI,4711.4143
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr1_c1_s22845.smt2,COLIBRI,4699.172
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr5_c1_s8938.smt2,COLIBRI,4686.091
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r5_vr10_c1_s7194.smt2,COLIBRI,4655.088
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r5_vr5_c1_s2800.smt2,COLIBRI,4593.51
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/mul_03_30_4.smt2,COLIBRI,4551.843
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.5.smt2,COLIBRI,4444.857
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s32506.smt2,COLIBRI,4408.296
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/angle_between_2.smt2,COLIBRI,4384.546
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.15.smt2,COLIBRI,4377.154
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr1_c1_s26845.smt2,COLIBRI,4259.193
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr1_c1_s24449.smt2,COLIBRI,4045.275
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.10.smt2,COLIBRI,3973.55
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr5_c1_s13679.smt2,COLIBRI,3764.65
