benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_11.msat.smt2,SPASS-SATT,4799.800442
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1484.smt2,SPASS-SATT,4799.799713
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1503.smt2,SPASS-SATT,4799.691842
/data/SMT-LIB-non-incremental/QF_LIA/tightrhombus/tightrhombus-283-245-7.smt2,SPASS-SATT,4799.683984
/data/SMT-LIB-non-incremental/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_16.msat.smt2,SPASS-SATT,4799.680992
/data/SMT-LIB-non-incremental/QF_LIA/tightrhombus/tightrhombus-273-245-10.smt2,SPASS-SATT,4799.67919
/data/SMT-LIB-non-incremental/QF_LIA/tightrhombus/tightrhombus-273-245-7.smt2,SPASS-SATT,4799.660427
/data/SMT-LIB-non-incremental/QF_LIA/tightrhombus/tightrhombus-283-245-9.smt2,SPASS-SATT,4799.658791
/data/SMT-LIB-non-incremental/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_15.msat.smt2,SPASS-SATT,4799.563758
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1504.smt2,SPASS-SATT,4799.527054
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1545.smt2,SPASS-SATT,4799.409589
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1585.smt2,SPASS-SATT,4799.386274
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1546.smt2,SPASS-SATT,4799.362375
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1565.smt2,SPASS-SATT,4799.334218
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1618.smt2,SPASS-SATT,4799.257331
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2306960.smt2,SPASS-SATT,4797.42601
/data/SMT-LIB-non-incremental/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_64.msat.smt2,SPASS-SATT,4797.01248
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1065256.smt2,SPASS-SATT,4796.01474
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-794687.smt2,SPASS-SATT,4791.51875
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-569261.smt2,SPASS-SATT,4790.43403
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2465898.smt2,SPASS-SATT,4771.1749
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/protfold.sat.smt2,SPASS-SATT,4763.8818
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1389427.smt2,SPASS-SATT,4760.5622
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1060546.smt2,SPASS-SATT,4759.8796
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-2407640.smt2,SPASS-SATT,4759.3717
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-365451.smt2,SPASS-SATT,4748.9132
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1564491.smt2,SPASS-SATT,4743.2831
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-255468.smt2,SPASS-SATT,4741.9402
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-618384.smt2,SPASS-SATT,4730.4711
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-1345233.smt2,SPASS-SATT,4716.5253
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-902192.smt2,SPASS-SATT,4715.979
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-2050620.smt2,SPASS-SATT,4699.425
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-368069.smt2,SPASS-SATT,4690.439
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-487307.smt2,SPASS-SATT,4689.792
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/disctom.sat.smt2,SPASS-SATT,4689.267
