benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_LRA/miplib/opt1217--37.smt2,SPASS-SATT,4799.795686
/data/SMT-LIB-non-incremental/QF_LRA/latendresse/ecoliMILPglycerolYices3-300000.smt2,SPASS-SATT,4797.81949
/data/SMT-LIB-non-incremental/QF_LRA/miplib/pk1-20.smt2,SPASS-SATT,4793.56218
/data/SMT-LIB-non-incremental/QF_LRA/latendresse/ecoliMILPglycerolYices3-90000.smt2,SPASS-SATT,4773.6701
/data/SMT-LIB-non-incremental/QF_LRA/latendresse/ecoliMILPglycerolYices3-50000.smt2,SPASS-SATT,4773.3203
/data/SMT-LIB-non-incremental/QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,SPASS-SATT,4769.769
/data/SMT-LIB-non-incremental/QF_LRA/latendresse/ecoliMILPglycerolYices3-100000.smt2,SPASS-SATT,4766.7106
/data/SMT-LIB-non-incremental/QF_LRA/latendresse/ecoliMILPglycerolYices3-70000.smt2,SPASS-SATT,4764.7032
/data/SMT-LIB-non-incremental/QF_LRA/tropical-matrix/constraint-269735.smt2,SPASS-SATT,4369.5
/data/SMT-LIB-non-incremental/QF_LRA/tropical-matrix/constraint-436218.smt2,SPASS-SATT,3928.499
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sorting_bubblesort_ground.i_4_3_3.bpl_11.smt2,SPASS-SATT,1070.707
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,SPASS-SATT,1069.432
/data/SMT-LIB-non-incremental/QF_LRA/tropical-matrix/constraint-330061.smt2,SPASS-SATT,1064.829
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2,SPASS-SATT,1063.583
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_6-phaseTemplate.smt2,SPASS-SATT,1038.6684
/data/SMT-LIB-non-incremental/QF_LRA/miplib/danoint-266.smt2,SPASS-SATT,929.2828
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,SPASS-SATT,764.0171
/data/SMT-LIB-non-incremental/QF_LRA/miplib/fixnet-1000.smt2,SPASS-SATT,689.5300940000001
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_11.smt2,SPASS-SATT,638.36
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2,SPASS-SATT,498.08979999999997
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/Ultimate/bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate.smt2,SPASS-SATT,474.0883
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_6-phaseTemplate.smt2,SPASS-SATT,460.01699999999994
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2,SPASS-SATT,457.793
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2,SPASS-SATT,433.3698
/data/SMT-LIB-non-incremental/QF_LRA/tta_startup/simple_startup_15nodes.abstract.induct.smt2,SPASS-SATT,395.095
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_05.i_3_2_2.bpl_11.smt2,SPASS-SATT,365.3879999999999
/data/SMT-LIB-non-incremental/QF_LRA/miplib/pp08a-5000.smt2,SPASS-SATT,354.07900000000006
/data/SMT-LIB-non-incremental/QF_LRA/tropical-matrix/constraint-199552.smt2,SPASS-SATT,337.65
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate.smt2,SPASS-SATT,291.85889999999995
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_11.smt2,SPASS-SATT,225.275
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_password_ground.i_4_2_2.bpl_11.smt2,SPASS-SATT,216.652
/data/SMT-LIB-non-incremental/QF_LRA/miplib/pp08a-9000.smt2,SPASS-SATT,212.873678
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2,SPASS-SATT,211.429
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_7-phaseTemplate.smt2,SPASS-SATT,191.90165
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Lasso_4-pieceTemplate.smt2,SPASS-SATT,181.22600000000003
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2,SPASS-SATT,178.57209999999998
/data/SMT-LIB-non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_simple1.i_3_6_2.bpl_11.smt2,SPASS-SATT,174.98400000000004
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled100.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,SPASS-SATT,156.0151
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_3-pieceTemplate.smt2,SPASS-SATT,153.6943
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Loop_7-phaseTemplate.smt2,SPASS-SATT,145.5386
/data/SMT-LIB-non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Lasso_7-phaseTemplate.smt2,SPASS-SATT,142.92499999999998
