benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn250.smt2,Alt-Ergo,4799.99146707
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1276.smt2,Alt-Ergo,4799.99131109
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn404.smt2,Alt-Ergo,4799.991155
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1062.smt2,Alt-Ergo,4799.99113296
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport.5.prop1_ab_reg_max.smt2,Alt-Ergo,4799.99111501
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn418.smt2,Alt-Ergo,4799.991039
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_h_b07_ab_reg_max.smt2,Alt-Ergo,4799.99101895
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_bakery.3.prop1_ab_reg_max.smt2,Alt-Ergo,4799.99098999
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond94.smt2,Alt-Ergo,4799.99092199
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn600.smt2,Alt-Ergo,4799.99091897
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn648.smt2,Alt-Ergo,4799.99083211
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond40.smt2,Alt-Ergo,4799.99082805
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1109.smt2,Alt-Ergo,4799.99082101
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_adding.2.prop1_ab_cti_max.smt2,Alt-Ergo,4799.99077089
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.1.prop1_ab_reg_max.smt2,Alt-Ergo,4799.99076092
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn430.smt2,Alt-Ergo,4799.99075592
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_resistance.1.prop3_ab_reg_max.smt2,Alt-Ergo,4799.9907541
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1219.smt2,Alt-Ergo,4799.99073588
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond93.smt2,Z3,4799.99073202
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn952.smt2,Alt-Ergo,4799.99068895
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn092.smt2,Alt-Ergo,4799.99068201
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_paper_v3_ab_cti_max.smt2,Alt-Ergo,4799.99067209
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn910.smt2,Alt-Ergo,4799.99062903
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_anderson.7.prop1_ab_reg_max.smt2,Alt-Ergo,4799.99060712
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond35.smt2,Z3,4799.99060391
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_at.6.prop1_ab_reg_max.smt2,Alt-Ergo,4799.9905911
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn914.smt2,Alt-Ergo,4799.99057096
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1011.smt2,Alt-Ergo,4799.99055188
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn856.smt2,Alt-Ergo,4799.99055109
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond97.smt2,Z3,4799.99054503
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond39.smt2,SMTInterpol,4799.99052911
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn978.smt2,Alt-Ergo,4799.99052801
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1312.smt2,Alt-Ergo,4799.99052799
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond30.smt2,Alt-Ergo,4799.99052501
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond53.smt2,Alt-Ergo,4799.99052302
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1007.smt2,Alt-Ergo,4799.99050592
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/loops6/gensys_brn001.smt2,Alt-Ergo,4799.99050389
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1226.smt2,Alt-Ergo,4799.9905019
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond68.smt2,Z3,4799.99050096
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1290.smt2,Alt-Ergo,4799.99049392
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1241.smt2,Alt-Ergo,4799.99049289
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond57.smt2,SMTInterpol,4799.99047392
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn927.smt2,Alt-Ergo,4799.99045703
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond86.smt2,SMTInterpol,4799.9904351
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_eq_sdp_v2_ab_cti_max.smt2,Alt-Ergo,4799.99039299
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn729.smt2,Alt-Ergo,4799.99038412
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1321.smt2,Alt-Ergo,4799.99038304
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn408.smt2,Alt-Ergo,4799.99035311
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn978.smt2,Alt-Ergo,4799.99034398
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond95.smt2,Alt-Ergo,4799.9902249
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn624.smt2,Alt-Ergo,4799.99021102
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_anderson.3.prop1_ab_reg_max.smt2,Alt-Ergo,4799.99019204
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn691.smt2,Alt-Ergo,4799.99016296
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_miim_ab_reg_max.smt2,Alt-Ergo,4799.99014995
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1024.smt2,Alt-Ergo,4799.99008291
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn349.smt2,Alt-Ergo,4799.9900531
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn063.smt2,Alt-Ergo,4799.99001111
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn279.smt2,Alt-Ergo,4799.9899761
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn734.smt2,Alt-Ergo,4799.9899659
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn205.smt2,Alt-Ergo,4799.9899
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/loops6/gensys_brn042.smt2,Alt-Ergo,4799.989885
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1030.smt2,Alt-Ergo,4799.98985
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1046.smt2,Alt-Ergo,4799.9898101
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond48.smt2,SMTInterpol,4799.989734
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn371.smt2,Alt-Ergo,4799.989704
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn483.smt2,Alt-Ergo,4799.9897011
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn265.smt2,Alt-Ergo,4799.9897001
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn254.smt2,Alt-Ergo,4799.989622
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn116.smt2,Alt-Ergo,4799.9895991
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1198.smt2,Alt-Ergo,4799.9895729
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn602.smt2,Alt-Ergo,4799.9895511
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn873.smt2,Alt-Ergo,4799.989549
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn491.smt2,Alt-Ergo,4799.989497
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn255.smt2,Alt-Ergo,4799.9894881
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1051.smt2,Alt-Ergo,4799.9894651
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn755.smt2,Alt-Ergo,4799.9894639
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1129.smt2,Alt-Ergo,4799.9893769
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport.1.prop1_ab_cti_max.smt2,Alt-Ergo,4799.9893081
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1225.smt2,Alt-Ergo,4799.9893031
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn657.smt2,Alt-Ergo,4799.9892311
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn480.smt2,Alt-Ergo,4799.9891999
/data/SMT-LIB-non-incremental/QF_UF/eq_diamond/eq_diamond42.smt2,Z3,4799.989176
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.1.prop1_ab_cti_max.smt2,Alt-Ergo,4799.9891471
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn331.smt2,Alt-Ergo,4799.989141
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn301.smt2,Alt-Ergo,4799.9891159
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/loops6/iso_brn088.smt2,Alt-Ergo,4799.9891069
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn264.smt2,Alt-Ergo,4799.9890861
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1313.smt2,Alt-Ergo,4799.9890481
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1310.smt2,Alt-Ergo,4799.988962
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn549.smt2,Alt-Ergo,4799.988951
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn982.smt2,Alt-Ergo,4799.9889311
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.4.prop3_ab_cti_max.smt2,Alt-Ergo,4799.9888949
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1239.smt2,Alt-Ergo,4799.9888499
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.2.prop2_ab_cti_max.smt2,Alt-Ergo,4799.9888471
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn633.smt2,Alt-Ergo,4799.988792
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn317.smt2,Alt-Ergo,4799.9887159
