benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/zipcpu-busdelay-compact-nomem.smt2,CVC4,4797.3607
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-15-compact-nomem.smt2,Boolector (2018),4787.6046
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc25.smt2,Z3,4762.1115
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc25.smt2,Z3,4753.3226
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,Z3,4737.2798
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_bmc30.smt2,Boolector,4716.6382
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-20-compact-nomem.smt2,Yices,4713.319
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-sat-compact-nomem.smt2,CVC4,4676.429
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/picorv32-pcregs-compact-nomem.smt2,Boolector (2018),4673.218
/data/SMT-LIB-non-incremental/QF_UFBV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-compact-nomem.smt2,Boolector (2018),4574.147
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc30.smt2,Poolector,2212.3822
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc30.smt2,Yices,1083.6509999999998
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2,Z3,1001.36247
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,Poolector,824.983
/data/SMT-LIB-non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,Boolector,626.4032
