benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10id.smt2,Yices,2.60632
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bidw.smt2,Yices,1.8547999999999998
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10i_i.smt2,Z3,1.7416699999999998
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nidw.smt2,Yices,1.54328
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10i.smt2,Yices,1.35966
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9idw_i.smt2,Yices (2018),1.1776499999999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete3/bug_file5.smt2,Yices,1.147613
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bi.smt2,Yices,0.9928300000000001
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nidw_i.smt2,Z3,0.8936199999999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10idw_i.smt2,Yices,0.8849399999999998
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/q2.18.smt2,Yices (2018),0.7867999999999995
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nid.smt2,Yices,0.6720299999999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9nidw_i.smt2,Yices (2018),0.64391
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9bidw_i.smt2,Z3,0.58412
/data/SMT-LIB-non-incremental/QF_UFIDL/pete3/bug_file2.smt2,Yices (2018),0.530655
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/ooo.tag19.smt2,Yices,0.510427
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10ni.smt2,Yices (2018),0.48258999999999985
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10b.smt2,Z3,0.4540200000000001
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9idw.smt2,Z3,0.45104999999999995
/data/SMT-LIB-non-incremental/QF_UFIDL/pete3/bug_file3.smt2,Yices,0.44444799999999995
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9b.smt2,Z3,0.43647100000000005
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c8idw.smt2,Z3,0.3914580000000001
