benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_13_13.smt2,Alt-Ergo,4799.99094298
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-16-10-4-3-1-3.smt2,Alt-Ergo,4799.99093389
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-09-4-5-5-4.smt2,Alt-Ergo,4799.9908929
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-17-09-4-3-5-5.smt2,Alt-Ergo,4799.9908399
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-16-05-5-3-1-1.smt2,Alt-Ergo,4799.99080399
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-15-11-5-2-2-2.smt2,Alt-Ergo,4799.99077609
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_14_19.smt2,Alt-Ergo,4799.9906139
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-17-07-3-4-4-3.smt2,Alt-Ergo,4799.99046594
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-10-5-2-5-3.smt2,Alt-Ergo,4799.99031796
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_13_18.smt2,Alt-Ergo,4799.99013708
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-05-3-1-5-3.smt2,Alt-Ergo,4799.9899071
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-07-3-4-1-2.smt2,Alt-Ergo,4799.9896021
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_07.smt2,Alt-Ergo,4799.989536
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-12-5-3-4-4.smt2,Alt-Ergo,4799.9893659
/data/SMT-LIB-non-incremental/QF_UFLIA/wisas/xs_28_28.smt2,Alt-Ergo,4799.9881889
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-20-09-1-5-4-2.smt2,veriT,4799.98778
/data/SMT-LIB-non-incremental/QF_UFLIA/mathsat/Wisa/xs-20-05-5-5-1-3.smt2,Alt-Ergo,4799.9876769
