benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.873525.smt2,Alt-Ergo,4799.9829369
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1471125.smt2,Z3,4799.9828681
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.898916.smt2,SMTInterpol,4799.9827631
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1260296.smt2,SMTInterpol,4799.9824461
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/z3.676467.smt2,SMTInterpol,4799.9812241
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.697343.smt2,SMTInterpol,4799.9812221
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.734483.smt2,SMTInterpol,4799.976785
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.885323.smt2,Z3,4799.97467
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1195436.smt2,Z3,4799.9706991
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.552560.smt2,SMTInterpol,4799.9669479
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1524829.smt2,Z3,4799.9495049
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1437253.smt2,Z3,4799.9477859
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.807820.smt2,Z3,4799.94191
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1244119.smt2,CVC4 (2018),4799.9411049
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.840395.smt2,Z3,4799.9356261
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.744675.smt2,Vampire,4799.9352941
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.608464.smt2,Vampire,4799.9352301
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1103889.smt2,Z3,4799.9306681
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1435405.smt2,Z3,4799.9291829
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.733064.smt2,CVC4 (2018),4799.9256549
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.885007.smt2,Z3,4799.9255689
/data/SMT-LIB-non-incremental/UFLIA/psyco/192.smt2,CVC4,4799.9221669
/data/SMT-LIB-non-incremental/UFLIA/boogie/List_Node.M.smt2,veriT,4799.9215681
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.740657.smt2,CVC4 (2018),4799.918584
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.833343.smt2,Z3,4799.917328
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.871101.smt2,veriT,4799.9136401
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.601167.smt2,Vampire,4799.906678
