benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/flag-alloca_true-termination.c.i.smt2,Yices,1108.6859430039735
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.17-alloca_true-termination.c.i.smt2,Z3,42.879799999999996
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i.smt2,Z3,41.4696
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.07-alloca_true-termination.c.i.smt2,Z3,41.452400000000004
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/c.03-alloca_true-termination.c.i.smt2,Z3,41.446600000000004
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/4BitCounterPointer_true-termination.c.smt2,Z3,35.120200000000004
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/Toulouse-MultiBranchesToLoop-alloca_true-termination.c.i.smt2,Z3,10.28386
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/diff-alloca_true-termination.c.i.smt2,Z3,7.102149999999999
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/java_AG313-alloca_true-termination.c.i.smt2,Z3,4.608239999999999
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/LexIndexValue-Pointer_true-termination.c.smt2,Z3,3.1352700000000002
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/array02-alloca_true-termination.c.i.smt2,Z3,2.9032600000000004
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.09_assume-alloca_true-termination.c.i.smt2,Z3,2.72977
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.09-no-inv_assume-alloca_true-termination.c.i.smt2,Z3,2.7052300000000002
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/a.09_assume-alloca_true-termination.c.i.smt2,Z3,2.6695300000000004
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.14-alloca_true-termination.c.i.smt2,Z3,2.54983
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.04-alloca_true-termination.c.i.smt2,Z3,2.5277299999999996
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.10-alloca_true-termination.c.i.smt2,Z3,2.43924
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.06-alloca_true-termination.c.i.smt2,Z3,2.4074100000000005
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/a.04-alloca_true-termination.c.i.smt2,Z3,2.4020500000000005
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/a.10-alloca_true-termination.c.i.smt2,Z3,2.38905
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/c.02-alloca_true-termination.c.i.smt2,Z3,2.38012
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.02-alloca_true-termination.c.i.smt2,Z3,2.36405
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/gcd1-alloca_true-termination.c.i.smt2,Z3,2.30667
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/a.08-alloca_true-termination.c.i.smt2,Z3,2.304
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.16-alloca_true-termination.c.i.smt2,Z3,2.2857800000000004
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i.smt2,Z3,2.2850900000000003
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.01-alloca_true-termination.c.i.smt2,Z3,2.27429
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/a.05-alloca_true-termination.c.i.smt2,Z3,2.2724400000000005
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i.smt2,Z3,2.25882
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/c.08-alloca_true-termination.c.i.smt2,Z3,2.23936
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c.i.smt2,Z3,2.19099
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/c.01-no-inv-alloca_true-termination.c.i.smt2,Z3,2.18781
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/min_rf-alloca_true-termination.c.i.smt2,Z3,2.1057699999999997
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/c.07-alloca_true-termination.c.i.smt2,Z3,2.058897
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i.smt2,Z3,2.03353
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/lis-alloca_true-termination.c.i.smt2,Z3,1.9429100000000001
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/insertionsort-alloca_true-termination.c.i.smt2,Z3,1.89412
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/CookSeeZuleger-2013TACAS-Fig7b-alloca_true-termination.c.i.smt2,Z3,1.69403
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i.smt2,Z3,1.6465599999999998
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/java_Sequence-alloca_true-termination.c.i.smt2,Z3,1.5576
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.12-alloca_true-termination.c.i.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/b.11-alloca_true-termination.c.i.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/easySum-alloca_true-termination.c.i.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_ALIA/UltimateBuchiAutomizer/cstrncpy-alloca_true-termination.c.i.smt2,Yices,0.0
