benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.07_false-unreach-call.i.cil.c.smt2,Yices (2018),0.14888000000000012
/data/SMT-LIB-incremental/QF_AUFLIA/safari/moesi.smt2,Yices (2018),0.0679322
/data/SMT-LIB-incremental/QF_AUFLIA/safari/linearSearch.smt2,Yices (2018),0.0161231
/data/SMT-LIB-incremental/QF_AUFLIA/safari/find1.smt2,Yices (2018),0.0035468999999999987
/data/SMT-LIB-incremental/QF_AUFLIA/safari/ini.smt2,Yices (2018),0.003514099999999999
/data/SMT-LIB-incremental/QF_AUFLIA/safari/mesi.smt2,Yices (2018),0.003306970000000001
/data/SMT-LIB-incremental/QF_AUFLIA/safari/filter1.smt2,Yices (2018),0.003268899999999998
/data/SMT-LIB-incremental/QF_AUFLIA/safari/max_in_array.smt2,Yices (2018),0.002475999999999999
/data/SMT-LIB-incremental/QF_AUFLIA/safari/berkeley.smt2,Yices (2018),0.002225999999999999
/data/SMT-LIB-incremental/QF_AUFLIA/safari/find1+2.smt2,Yices (2018),0.0021849999999999994
/data/SMT-LIB-incremental/QF_AUFLIA/safari/partition_int.smt2,Yices (2018),0.0020590999999999977
/data/SMT-LIB-incremental/QF_AUFLIA/safari/mux.smt2,Yices (2018),0.0015509000000000009
/data/SMT-LIB-incremental/QF_AUFLIA/safari/partition.smt2,Yices (2018),0.00145
/data/SMT-LIB-incremental/QF_AUFLIA/safari/moesi_ca.smt2,Yices (2018),0.0007100000000000023
/data/SMT-LIB-incremental/QF_AUFLIA/safari/bakery.smt2,Yices (2018),0.0006849999999999998
/data/SMT-LIB-incremental/QF_AUFLIA/safari/find2.smt2,Yices (2018),0.0001799999999999996
/data/SMT-LIB-incremental/QF_AUFLIA/safari/filter2.smt2,Yices (2018),0.00010910000000000086
/data/SMT-LIB-incremental/QF_AUFLIA/safari/bakery_Lamport.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/mesi_ca.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/dijkstra_1.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/selectionSort.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/german_07.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/strcmp.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.04_false-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/crash3.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateKojak/s3_clnt.blast.04_true-unreach-call.i.cil.c.prep.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateKojak/s3_clnt.blast.01_true-unreach-call.i.cil.c.prep.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/szymanski.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.06_true-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/illinois_ca.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.07_true-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.01_false-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/german_pfs.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.13_false-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.15_false-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/sendOmission_lemma2.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/crash1.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/futurebus.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/synapse.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/german_ca.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/szymanski_at.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/crash2.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_clnt.blast.03_true-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/integers.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.03_false-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.02_true-unreach-call.i.cil.c.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/bakery_t.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/ultimateKojak/s3_clnt.blast.02_true-unreach-call.i.cil.c.prep.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/illinois.smt2,Yices (2018),0.0
/data/SMT-LIB-incremental/QF_AUFLIA/safari/binarySort.smt2,Yices (2018),0.0
